trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,natural_resource/land,natural_resource/water,resources_intensity
3985668,AU,AU,CATTL,MEATC,6140.56,1537995.228,2.0,2.0,1537956.0,39.228,250.464978
3985649,AU,AU,CATTL,CATTL,1904.34,476970.165,2.0,2.0,476958.0,12.165,250.464815
3986219,AU,AU,FORES,FORES,420.18,258588.527,2.0,2.0,258586.0,2.527,615.423216
3986243,AU,AU,FORES,WOODW,388.63,239173.337,2.0,2.0,239171.0,2.337,615.426851
3986037,AU,AU,RAWMI,DAIRY,2472.77,205841.662,2.0,2.0,205830.0,11.662,83.243351
3989155,AU,AU,WOODW,CONST,7587.1,143819.662,2.0,2.0,143724.0,95.662,18.955815
3986288,AU,AU,FORES,CONST,232.0,142776.395,2.0,2.0,142775.0,1.395,615.415496
3995473,AU,AU,CONST,CONST,60732.98,110266.349,2.0,2.0,109640.0,626.349,1.815593
3987435,AU,AU,MEATC,HOTEL,428.34,54875.105,2.0,2.0,54873.0,2.105,128.111092
3985740,AU,AU,CATTL,WHOLE,215.06,53865.374,2.0,2.0,53864.0,1.374,250.466726
3987371,AU,AU,MEATC,FOOD5,407.94,52262.005,2.0,2.0,52260.0,2.005,128.11199
3986106,AU,AU,RAWMI,HOTEL,605.32,50388.855,2.0,2.0,50386.0,2.855,83.243334
3986289,AU,AU,FORES,WHOLE,76.41,47025.46,2.0,2.0,47025.0,0.46,615.435938
3995886,AU,AU,WHOLE,CONST,16080.86,35630.72,2.0,2.0,35518.0,112.72,2.215722
3985741,AU,AU,CATTL,RETA1,133.7,33485.854,2.0,2.0,33485.0,0.854,250.455153
3995488,AU,AU,CONST,REALE,18407.03,33419.835,2.0,2.0,33230.0,189.835,1.815602
3987363,AU,AU,MEATC,MEATC,233.36,29896.147,2.0,2.0,29895.0,1.147,128.111703
3986238,AU,AU,FORES,VEGE1,46.36,28529.279,2.0,2.0,28529.0,0.279,615.385656
3986276,AU,AU,FORES,FURNI,44.0,27079.265,2.0,2.0,27079.0,0.265,615.437841
3986244,AU,AU,FORES,PULP5,38.05,23418.229,2.0,2.0,23418.0,0.229,615.459369
3986207,AU,AU,FORES,VEGET,37.33,22971.224,2.0,2.0,22971.0,0.224,615.355585
3986010,AU,AU,RAWMI,CROPS,241.81,20129.14,2.0,2.0,20128.0,1.14,83.243621
3989095,AU,AU,WOODW,WOODW,921.49,17467.619,2.0,2.0,17456.0,11.619,18.955842
3987433,AU,AU,MEATC,WHOLE,133.32,17079.655,2.0,2.0,17079.0,0.655,128.110224
3986268,AU,AU,FORES,FABRI,27.72,17058.167,2.0,2.0,17058.0,0.167,615.37399
3987843,AU,AU,DAIRY,DAIRY,732.15,16785.087,2.0,2.0,16781.0,4.087,22.925749
3986245,AU,AU,FORES,PAPER,27.17,16720.163,2.0,2.0,16720.0,0.163,615.390615
3985654,AU,AU,CATTL,RAWMI,63.57,15922.406,2.0,2.0,15922.0,0.406,250.470442
3984879,AU,AU,WHEAT,WHEAT,618.24,15215.4,2.0,2.0,15207.0,8.4,24.610831
3987434,AU,AU,MEATC,RETA1,114.93,14723.565,2.0,2.0,14723.0,0.565,128.108979
3992611,AU,AU,FABRI,CONST,10487.5,14685.144,2.0,2.0,14561.0,124.144,1.400252
3985749,AU,AU,CATTL,RESEA,53.08,13295.339,2.0,2.0,13295.0,0.339,250.477374
3986104,AU,AU,RAWMI,WHOLE,151.51,12611.715,2.0,2.0,12611.0,0.715,83.240149
3987916,AU,AU,DAIRY,HOTEL,547.46,12551.056,2.0,2.0,12548.0,3.056,22.925978
3985737,AU,AU,CATTL,CONST,47.08,11790.301,2.0,2.0,11790.0,0.301,250.431202
3985207,AU,AU,OILSE,OILSE,453.54,11771.465,2.0,2.0,11767.0,4.465,25.954635
3986261,AU,AU,FORES,RUBBE,18.24,11227.11,2.0,2.0,11227.0,0.11,615.521382
3998578,AU,AU,BUSIN,BUSIN,21607.3,11081.012,2.0,2.0,11003.0,78.012,0.512836
3986303,AU,AU,FORES,BUSIN,17.16,10562.103,2.0,2.0,10562.0,0.103,615.507168
3988202,AU,AU,FOOD5,CATTL,1814.91,10537.532,2.0,2.0,10524.0,13.532,5.806091
3987436,AU,AU,MEATC,RAILW,80.9,10364.398,2.0,2.0,10364.0,0.398,128.113696
3996217,AU,AU,HOTEL,BUSIN,3426.91,10110.581,2.0,2.0,10095.0,15.581,2.950349
3985743,AU,AU,CATTL,LANDT,40.32,10098.258,2.0,2.0,10098.0,0.258,250.452827
3986302,AU,AU,FORES,RESEA,16.29,10026.098,2.0,2.0,10026.0,0.098,615.475629
3987451,AU,AU,MEATC,HEALT,75.0,9607.369,2.0,2.0,9607.0,0.369,128.098253
3985431,AU,AU,PLANT,PLANT,3293.69,9251.192,2.0,2.0,9169.0,82.192,2.808762
3986221,AU,AU,FORES,BITUM,14.79,9100.089,2.0,2.0,9100.0,0.089,615.286613
3998557,AU,AU,BUSIN,CONST,17390.74,8917.789,2.0,2.0,8855.0,62.789,0.51279
3995889,AU,AU,WHOLE,WHOLE,3998.4,8859.027,2.0,2.0,8831.0,28.027,2.215643
3987786,AU,AU,VEGE1,HOTEL,116.42,8510.72,2.0,2.0,8503.0,7.72,73.10359
3985676,AU,AU,CATTL,FOOD5,30.6,7663.195,2.0,2.0,7663.0,0.195,250.431209
3989097,AU,AU,WOODW,PAPER,396.18,7509.995,2.0,2.0,7505.0,4.995,18.956017
3984983,AU,AU,CEREA,CATTL,305.56,7319.078,2.0,2.0,7317.0,2.078,23.952998
3996220,AU,AU,HOTEL,HEALT,2387.88,7044.857,2.0,2.0,7034.0,10.857,2.950256
3986007,AU,AU,RAWMI,OILSE,82.19,6842.388,2.0,2.0,6842.0,0.388,83.250858
3991629,AU,AU,CEMEN,CONST,9242.31,6695.225,2.0,2.0,6599.0,96.225,0.72441
3995493,AU,AU,CONST,PUBLI,3566.23,6474.779,2.0,2.0,6438.0,36.779,1.815581
3991156,AU,AU,RUBBE,CONST,3148.85,6078.768,2.0,2.0,6042.0,36.768,1.930472
3987846,AU,AU,DAIRY,FOOD5,264.15,6055.475,2.0,2.0,6054.0,1.475,22.92438
