trade_id,region1,region2,industry1,industry2,amount
3952088,AU,AT,VEGET,FOOD5,0.01
3952089,AU,AT,VEGET,WHOLE,0.05
3952090,AU,AT,ANIMA,WOODW,0.01
3952091,AU,AT,ANIMA,PLAST,0.04
3952092,AU,AT,ANIMA,RUBBE,0.16
3952093,AU,AT,ANIMA,FABRI,0.03
3952094,AU,AT,ANIMA,MACHI,0.02
3952095,AU,AT,ANIMA,TRANS,0.02
3952096,AU,AT,ANIMA,FURNI,0.02
3952097,AU,AT,ANIMA,CONST,0.03
3952098,AU,AT,ANIMA,WHOLE,0.03
3952099,AU,AT,ANIMA,RETA1,0.02
3952100,AU,AT,ANIMA,HOTEL,0.03
3952101,AU,AT,ANIMA,RENTI,0.03
3952102,AU,AT,ANIMA,RESEA,0.06
3952103,AU,AT,ANIMA,BUSIN,0.09
3952104,AU,AT,FISHF,HOTEL,0.09
3952105,AU,AT,BITUM,CATTL,0.50
3952106,AU,AT,BITUM,PIGS9,0.31
3952107,AU,AT,BITUM,POULT,0.18
3952108,AU,AT,BITUM,MEATA,0.05
3952109,AU,AT,BITUM,ANIMA,0.03
3952110,AU,AT,BITUM,RAWMI,0.72
3952111,AU,AT,BITUM,STONE,0.01
3952112,AU,AT,BITUM,SANDC,0.01
3952113,AU,AT,BITUM,VEGE1,8.51
3952114,AU,AT,BITUM,FOOD5,10.13
3952115,AU,AT,BITUM,LEATH,0.03
3952116,AU,AT,BITUM,WOODW,0.91
3952117,AU,AT,BITUM,PULP5,0.11
3952118,AU,AT,BITUM,PRINT,0.03
3952119,AU,AT,BITUM,COKEO,0.04
3952120,AU,AT,BITUM,PLAST,0.21
3952121,AU,AT,BITUM,CHEM1,0.02
3952122,AU,AT,BITUM,RUBBE,0.12
3952123,AU,AT,BITUM,BRICK,0.02
3952124,AU,AT,BITUM,CEMEN,1.19
3952125,AU,AT,BITUM,NONME,0.03
3952126,AU,AT,BITUM,BASIC,7.49
3952127,AU,AT,BITUM,PREC1,0.01
3952128,AU,AT,BITUM,LEAD1,0.43
3952129,AU,AT,BITUM,FABRI,0.53
3952130,AU,AT,BITUM,MACHI,0.05
3952131,AU,AT,BITUM,OFFIC,0.03
3952132,AU,AT,BITUM,ELECT,0.01
3952133,AU,AT,BITUM,MOTO1,0.11
3952134,AU,AT,BITUM,TRANS,0.01
3952135,AU,AT,BITUM,FURNI,0.20
3952136,AU,AT,BITUM,SECO9,0.10
3952137,AU,AT,BITUM,ELEC1,4.39
3952138,AU,AT,BITUM,ELEC2,0.02
3952139,AU,AT,BITUM,ELEC4,0.01
3952140,AU,AT,BITUM,ELEC6,0.54
3952141,AU,AT,BITUM,ELEC7,0.09
3952142,AU,AT,BITUM,DIST1,0.09
3952143,AU,AT,BITUM,STEAM,0.07
3952144,AU,AT,BITUM,CONST,1.22
3952145,AU,AT,BITUM,SALEM,0.06
3952146,AU,AT,BITUM,WHOLE,0.18
3952147,AU,AT,BITUM,RETA1,0.04
3952148,AU,AT,BITUM,HOTEL,5.14
3952149,AU,AT,BITUM,RAILW,0.15
3952150,AU,AT,BITUM,LANDT,0.60
3952151,AU,AT,BITUM,TRAN2,0.07
3952152,AU,AT,BITUM,SUPPO,0.04
3952153,AU,AT,BITUM,POSTT,0.03
