trade_id,region1,region2,industry1,industry2,amount
90129,AT,BR,VEGET,FOOD5,0.05
90130,AT,BR,CROPS,FOOD5,0.01
90131,AT,BR,NONFE,NONF1,0.02
90132,AT,BR,NONFE,FURNI,0.03
90133,AT,BR,NONFE,CONST,0.02
90134,AT,BR,SANDC,CONST,0.01
90135,AT,BR,CHEMI,CEREA,0.01
90136,AT,BR,CHEMI,OILSE,0.01
90137,AT,BR,CHEMI,PLANT,0.02
90138,AT,BR,CHEMI,CROPS,0.01
90139,AT,BR,CHEMI,CATTL,0.15
90140,AT,BR,CHEMI,PIGS9,0.05
90141,AT,BR,CHEMI,POULT,0.33
90142,AT,BR,CHEMI,RAWMI,0.13
90143,AT,BR,CHEMI,FORES,0.46
90144,AT,BR,CHEMI,FISHF,0.25
90145,AT,BR,CHEMI,MEATC,0.02
90146,AT,BR,CHEMI,MEATP,0.03
90147,AT,BR,CHEMI,MEAT1,0.01
90148,AT,BR,CHEMI,SUGA1,0.02
90149,AT,BR,CHEMI,PLAST,0.02
90150,AT,BR,CHEMI,BIOGA,0.02
90151,AT,BR,CHEMI,LIQUI,0.03
90152,AT,BR,CHEMI,RUBBE,0.01
90153,AT,BR,CHEMI,GLASS,0.02
90154,AT,BR,CHEMI,CERAM,0.02
90155,AT,BR,CHEMI,NONME,0.04
90156,AT,BR,CHEMI,FABRI,0.04
90157,AT,BR,CHEMI,MACHI,0.02
90158,AT,BR,CHEMI,MOTO1,0.14
90159,AT,BR,CHEMI,FURNI,0.23
90160,AT,BR,CHEMI,CONST,0.11
90161,AT,BR,CHEMI,WHOLE,0.01
90162,AT,BR,CHEMI,RETA1,0.02
90163,AT,BR,CHEMI,REALE,0.01
90164,AT,BR,CHEMI,EDUCA,0.03
90165,AT,BR,CHEMI,MEMBE,0.20
90166,AT,BR,CHEMI,RECRE,0.13
90167,AT,BR,CHEMI,93197,0.07
90168,AT,BR,FOOD5,MEATC,0.10
90169,AT,BR,FOOD5,MEATP,0.02
90170,AT,BR,FOOD5,MEAT1,0.12
90171,AT,BR,FOOD5,DAIRY,0.02
90172,AT,BR,FOOD5,SUGA1,0.04
90173,AT,BR,FOOD5,BEVER,0.04
90174,AT,BR,FOOD5,WOODW,0.03
90175,AT,BR,FOOD5,WHOLE,0.03
90176,AT,BR,FOOD5,RETA1,0.05
90177,AT,BR,FOOD5,HOTEL,0.26
90178,AT,BR,FOOD5,PUBLI,0.06
90179,AT,BR,FOOD5,EDUCA,0.08
90180,AT,BR,FOOD5,HEALT,0.05
90181,AT,BR,FOOD5,MEMBE,0.02
90182,AT,BR,BEVER,CHEMI,0.09
90183,AT,BR,BEVER,FOOD5,29.91
90184,AT,BR,BEVER,BEVER,2.64
90185,AT,BR,BEVER,WOODW,0.03
90186,AT,BR,BEVER,PLAST,0.16
90187,AT,BR,BEVER,CHARC,0.18
90188,AT,BR,BEVER,BIODI,0.07
90189,AT,BR,BEVER,BASIC,0.01
90190,AT,BR,BEVER,FABRI,0.05
90191,AT,BR,BEVER,MACHI,0.01
90192,AT,BR,BEVER,WHOLE,0.29
90193,AT,BR,BEVER,RETA1,0.47
90194,AT,BR,BEVER,HOTEL,34.54
90195,AT,BR,BEVER,AIRTR,0.01
90196,AT,BR,BEVER,SUPPO,0.02
90197,AT,BR,BEVER,REALE,0.13
90198,AT,BR,BEVER,RENTI,0.03
90199,AT,BR,BEVER,PUBLI,0.13
90200,AT,BR,BEVER,EDUCA,0.06
90201,AT,BR,BEVER,HEALT,0.09
90202,AT,BR,BEVER,MEMBE,0.02
90203,AT,BR,BEVER,RECRE,0.05
90204,AT,BR,TEXTI,TEXTI,0.13
90205,AT,BR,TEXTI,WEARI,0.32
90206,AT,BR,TEXTI,FURNI,0.02
90207,AT,BR,TEXTI,CONST,0.01
90208,AT,BR,TEXTI,HOTEL,0.01
90209,AT,BR,TEXTI,HEALT,0.01
90210,AT,BR,LEATH,LEATH,0.03
90211,AT,BR,LEATH,BASIC,0.28
90212,AT,BR,LEATH,FABRI,0.01
90213,AT,BR,LEATH,MOTO1,0.02
90214,AT,BR,WOODW,VEGET,0.04
90215,AT,BR,WOODW,CROPS,0.02
90216,AT,BR,WOODW,BEVER,0.01
90217,AT,BR,WOODW,WOODW,0.39
90218,AT,BR,WOODW,PULP5,0.03
90219,AT,BR,WOODW,PAPER,0.15
90220,AT,BR,WOODW,COPP1,0.01
90221,AT,BR,WOODW,FOUND,0.01
90222,AT,BR,WOODW,FABRI,0.02
90223,AT,BR,WOODW,MACHI,0.02
90224,AT,BR,WOODW,MOTO1,0.04
90225,AT,BR,WOODW,FURNI,0.28
90226,AT,BR,WOODW,ELEC4,0.01
90227,AT,BR,WOODW,CONST,0.35
90228,AT,BR,WOODW,WHOLE,0.01
90229,AT,BR,WOODW,RETA1,0.02
90230,AT,BR,WOODW,REALE,0.03
90231,AT,BR,WOODW,93197,0.01
90232,AT,BR,PAPER,VEGET,0.04
90233,AT,BR,PAPER,SUGAR,0.03
90234,AT,BR,PAPER,POULT,0.02
90235,AT,BR,PAPER,CRUDE,0.02
90236,AT,BR,PAPER,PRECI,0.02
90237,AT,BR,PAPER,MEATC,0.06
90238,AT,BR,PAPER,MEATP,0.01
90239,AT,BR,PAPER,MEAT1,0.06
90240,AT,BR,PAPER,DAIRY,0.21
90241,AT,BR,PAPER,SUGA1,0.02
90242,AT,BR,PAPER,FOOD5,0.06
90243,AT,BR,PAPER,BEVER,0.12
90244,AT,BR,PAPER,TOBAC,0.28
90245,AT,BR,PAPER,TEXTI,0.03
90246,AT,BR,PAPER,WEARI,0.02
90247,AT,BR,PAPER,LEATH,0.14
90248,AT,BR,PAPER,WOODW,1.18
90249,AT,BR,PAPER,PAPER,1.76
90250,AT,BR,PAPER,PRINT,0.22
90251,AT,BR,PAPER,MOTOR,0.01
90252,AT,BR,PAPER,PLAST,0.08
90253,AT,BR,PAPER,NFERT,0.02
90254,AT,BR,PAPER,PFERT,0.29
90255,AT,BR,PAPER,CHEM1,0.02
90256,AT,BR,PAPER,BIOGA,0.01
90257,AT,BR,PAPER,LIQUI,0.02
90258,AT,BR,PAPER,RUBBE,0.33
90259,AT,BR,PAPER,GLASS,0.02
90260,AT,BR,PAPER,CERAM,0.13
90261,AT,BR,PAPER,CEMEN,0.04
90262,AT,BR,PAPER,NONME,0.02
90263,AT,BR,PAPER,BASIC,0.01
