trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
138653,FR,TW,SEACO,93197,1252.37,2114666590.33,7,7,2114666086.379,20.0,225.0,249.0,9.951,1688531.815941
36258,FR,DE,BASIC,BASIC,1688.79,1414488896.617,7,7,1414487556.294,31.0,398.0,880.0,31.323,837575.362607
138659,FR,TW,SEACO,SEACO,721.09,1217583239.298,7,7,1217582950.569,11.0,129.0,143.0,5.729,1688531.583156
143614,FR,US,TRANS,TRANS,6245.99,740576381.227,7,7,740572140.023,308.0,1630.0,2268.0,35.204,118568.294414
10121,FR,BE,MOTO1,MOTO1,3980.78,665363112.105,7,7,665361211.646,62.0,883.0,929.0,26.459,167143.904487
30733,FR,CN,SEACO,MOTOR,391.77,661521979.601,7,7,661521822.488,6.0,70.0,78.0,3.113,1688546.7994
36295,FR,DE,BASIC,FABRI,775.54,649569783.813,7,7,649569168.429,14.0,183.0,404.0,14.384,837570.961927
149590,FR,WA,SEACO,SEACO,356.37,601751106.494,7,7,601750962.662,6.0,64.0,71.0,2.832,1688557.135825
47818,FR,ES,BASIC,FABRI,711.46,595898744.859,7,7,595898179.663,13.0,168.0,371.0,13.196,837571.676354
30715,FR,CN,SEACO,GASDI,350.36,591587888.021,7,7,591587746.237,6.0,63.0,70.0,2.784,1688514.351013
40158,FR,DE,MOTO1,MOTO1,3356.38,560997277.004,7,7,560995674.695,52.0,744.0,784.0,22.309,167143.552579
77873,FR,IT,BASIC,BASIC,614.12,514368444.516,7,7,514367957.126,11.0,145.0,320.0,11.39,837569.928542
9091,FR,BE,HOTEL,CONST,4871.97,501768106.4,7,7,501765921.539,70.0,1572.0,527.0,15.861,102990.803802
12395,FR,BE,SEACO,CONST,286.76,484211293.778,7,7,484211178.5,5.0,51.0,57.0,2.278,1688559.400816
30722,FR,CN,SEACO,KEROS,282.24,476566756.434,7,7,476566643.192,4.0,51.0,56.0,2.242,1688516.002105
31117,FR,CN,TRANS,TRANS,3817.52,452636669.239,7,7,452634077.723,188.0,996.0,1386.0,21.516,118568.250917
42506,FR,DE,SEACO,SEACO,256.26,432709222.323,7,7,432709119.287,4.0,46.0,51.0,2.036,1688555.46056
51720,FR,ES,MOTO1,MOTO1,2430.68,406272544.37,7,7,406271384.214,38.0,539.0,567.0,16.156,167143.57479
138654,FR,TW,SEACO,EDUCA,234.89,396625713.767,7,7,396625618.901,4.0,42.0,47.0,1.866,1688559.384252
9442,FR,BE,KEROS,AIRTR,659.2,390427073.962,7,7,390426409.032,14.0,191.0,439.0,20.93,592274.080646
