trade_id,region1,region2,industry1,industry2,amount
1652619,IT,AT,PADDY,SANDC,0.01
1652620,IT,AT,PADDY,FOOD5,0.03
1652621,IT,AT,PADDY,ELEC2,0.10
1652622,IT,AT,PADDY,DIST1,0.01
1652623,IT,AT,WHEAT,FOOD5,0.04
1652624,IT,AT,WHEAT,BEVER,0.01
1652625,IT,AT,WHEAT,PLAST,0.04
1652626,IT,AT,WHEAT,HOTEL,0.03
1652627,IT,AT,CEREA,CEREA,0.02
1652628,IT,AT,CEREA,CROPS,0.01
1652629,IT,AT,CEREA,CATTL,0.04
1652630,IT,AT,CEREA,PIGS9,0.07
1652631,IT,AT,CEREA,POULT,0.06
1652632,IT,AT,CEREA,RAWMI,0.23
1652633,IT,AT,CEREA,MEATC,0.05
1652634,IT,AT,CEREA,MEATP,0.04
1652635,IT,AT,CEREA,MEAT1,0.01
1652636,IT,AT,CEREA,MEAT4,0.02
1652637,IT,AT,CEREA,VEGE1,0.01
1652638,IT,AT,CEREA,DAIRY,0.03
1652639,IT,AT,CEREA,SUGA1,0.03
1652640,IT,AT,CEREA,FOOD5,1.43
1652641,IT,AT,CEREA,BEVER,0.34
1652642,IT,AT,CEREA,PLAST,1.31
1652643,IT,AT,CEREA,CHEM1,0.05
1652644,IT,AT,CEREA,FURNI,0.05
1652645,IT,AT,CEREA,STEAM,0.01
1652646,IT,AT,CEREA,CONST,0.01
1652647,IT,AT,CEREA,WHOLE,0.19
1652648,IT,AT,CEREA,RETA1,0.05
1652649,IT,AT,CEREA,HOTEL,1.41
1652650,IT,AT,CEREA,RAILW,0.84
1652651,IT,AT,CEREA,SUPPO,0.03
1652652,IT,AT,CEREA,REALE,0.03
1652653,IT,AT,CEREA,RENTI,0.06
1652654,IT,AT,CEREA,COMPU,0.04
1652655,IT,AT,CEREA,RESEA,0.17
1652656,IT,AT,CEREA,BUSIN,0.21
1652657,IT,AT,CEREA,EDUCA,0.01
1652658,IT,AT,CEREA,HEALT,0.13
1652659,IT,AT,CEREA,RECRE,0.02
1652660,IT,AT,CEREA,93197,0.01
1652661,IT,AT,VEGET,VEGET,6.08
1652662,IT,AT,VEGET,PIGS9,0.01
1652663,IT,AT,VEGET,SANDC,0.01
1652664,IT,AT,VEGET,MEATC,0.44
1652665,IT,AT,VEGET,MEATP,0.35
1652666,IT,AT,VEGET,MEAT1,0.12
1652667,IT,AT,VEGET,MEAT4,0.15
1652668,IT,AT,VEGET,VEGE1,0.10
1652669,IT,AT,VEGET,DAIRY,0.26
1652670,IT,AT,VEGET,SUGA1,0.22
1652671,IT,AT,VEGET,FOOD5,17.76
1652672,IT,AT,VEGET,BEVER,9.51
1652673,IT,AT,VEGET,WEARI,5.30
1652674,IT,AT,VEGET,WOODW,0.11
1652675,IT,AT,VEGET,PRINT,0.08
1652676,IT,AT,VEGET,PLAST,1.71
1652677,IT,AT,VEGET,CHEM1,0.07
1652678,IT,AT,VEGET,RUBBE,0.02
1652679,IT,AT,VEGET,CEMEN,0.08
1652680,IT,AT,VEGET,NONME,0.01
1652681,IT,AT,VEGET,BASIC,0.02
1652682,IT,AT,VEGET,ALUM1,0.02
1652683,IT,AT,VEGET,COPP1,0.02
1652684,IT,AT,VEGET,NONF1,0.02
1652685,IT,AT,VEGET,FOUND,0.01
1652686,IT,AT,VEGET,FABRI,0.28
1652687,IT,AT,VEGET,MACHI,0.24
1652688,IT,AT,VEGET,OFFIC,0.02
1652689,IT,AT,VEGET,FURNI,4.35
1652690,IT,AT,VEGET,STEAM,0.02
1652691,IT,AT,VEGET,CONST,0.24
1652692,IT,AT,VEGET,SALEM,0.56
1652693,IT,AT,VEGET,RETAI,0.02
1652694,IT,AT,VEGET,WHOLE,69.97
1652695,IT,AT,VEGET,RETA1,2.29
1652696,IT,AT,VEGET,HOTEL,5.48
1652697,IT,AT,VEGET,SUPPO,0.65
1652698,IT,AT,VEGET,POSTT,0.05
1652699,IT,AT,VEGET,REALE,1.08
1652700,IT,AT,VEGET,RENTI,1.20
1652701,IT,AT,VEGET,COMPU,5.09
1652702,IT,AT,VEGET,RESEA,3.86
1652703,IT,AT,VEGET,BUSIN,6.75
1652704,IT,AT,VEGET,EDUCA,0.05
1652705,IT,AT,VEGET,HEALT,0.07
1652706,IT,AT,VEGET,WASTE,0.01
1652707,IT,AT,VEGET,RECRE,0.09
1652708,IT,AT,VEGET,93197,0.04
1652709,IT,AT,OILSE,OILSE,0.03
1652710,IT,AT,OILSE,MEATC,0.05
1652711,IT,AT,OILSE,MEATP,0.04
1652712,IT,AT,OILSE,MEAT1,0.01
1652713,IT,AT,OILSE,MEAT4,0.02
1652714,IT,AT,OILSE,VEGE1,0.17
1652715,IT,AT,OILSE,DAIRY,0.03
1652716,IT,AT,OILSE,SUGA1,0.03
1652717,IT,AT,OILSE,FOOD5,1.92
1652718,IT,AT,OILSE,BEVER,0.35
1652719,IT,AT,OILSE,PLAST,0.76
1652720,IT,AT,OILSE,PFERT,0.16
1652721,IT,AT,OILSE,CHEM1,0.03
1652722,IT,AT,OILSE,OFFIC,0.01
1652723,IT,AT,OILSE,FURNI,0.03
1652724,IT,AT,OILSE,CONST,0.04
1652725,IT,AT,OILSE,SALEM,0.03
1652726,IT,AT,OILSE,WHOLE,0.12
1652727,IT,AT,OILSE,RETA1,0.02
1652728,IT,AT,OILSE,HOTEL,0.49
1652729,IT,AT,OILSE,LANDT,0.01
1652730,IT,AT,OILSE,TRAN2,3.55
1652731,IT,AT,OILSE,SUPPO,0.05
1652732,IT,AT,OILSE,REALE,0.03
1652733,IT,AT,OILSE,RENTI,0.11
1652734,IT,AT,OILSE,COMPU,0.03
1652735,IT,AT,OILSE,RESEA,0.08
1652736,IT,AT,OILSE,BUSIN,0.16
1652737,IT,AT,OILSE,HEALT,0.04
1652738,IT,AT,OILSE,RECRE,0.01
1652739,IT,AT,CATTL,MEATC,0.03
1652740,IT,AT,POULT,CHEMI,0.03
1652741,IT,AT,POULT,MEAT1,0.11
1652742,IT,AT,POULT,WHOLE,0.01
1652743,IT,AT,POULT,HOTEL,0.02
1652744,IT,AT,POULT,TRAN2,0.02
