trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
23095,CN,JP,STONE,REALE,8.25,122763.0,1.0,1.0,122763.0,14880.363636
23097,CN,JP,STONE,RETA1,1.9,28247.0,1.0,1.0,28247.0,14866.842105
105516,WM,JP,CRUDE,MOTOR,24962.38,16121.0,1.0,1.0,16121.0,0.645812
23104,CN,JP,STONE,WHOLE,1.04,15530.0,1.0,1.0,15530.0,14932.692308
99800,WA,JP,WOODW,WOODW,3251.48,14570.0,1.0,1.0,14570.0,4.481036
94510,WA,JP,FABRI,CONST,5750.52,11959.0,1.0,1.0,11959.0,2.079638
23101,CN,JP,STONE,SUPPO,0.73,10812.0,1.0,1.0,10812.0,14810.958904
105505,WM,JP,CRUDE,GASDI,15848.74,10235.0,1.0,1.0,10235.0,0.645793
92256,US,JP,WHEAT,FOOD5,778.89,9979.0,1.0,1.0,9979.0,12.811822
19685,CN,JP,FABRI,CONST,3469.97,9512.0,1.0,1.0,9512.0,2.741234
99693,WA,JP,WOODW,CONST,1911.24,8564.0,1.0,1.0,8564.0,4.480861
93077,WA,JP,BASIC,BASIC,1037.35,8267.0,1.0,1.0,8267.0,7.969345
23091,CN,JP,STONE,POSTT,0.52,7736.0,1.0,1.0,7736.0,14876.923077
4627,AU,JP,PRECI,PREC1,214.58,6941.0,1.0,1.0,6941.0,32.34691
93532,WA,JP,CERAM,CONST,1197.08,6541.0,1.0,1.0,6541.0,5.464129
90445,US,JP,PRECI,PREC1,11.76,6518.0,1.0,1.0,6518.0,554.251701
23103,CN,JP,STONE,VEGET,0.41,6060.0,1.0,1.0,6060.0,14780.487805
2184,AU,JP,BITUM,BASIC,8069.01,5032.0,1.0,1.0,5032.0,0.62362
105508,WM,JP,CRUDE,HEAVY,7499.9,4844.0,1.0,1.0,4844.0,0.645875
89769,US,JP,OILSE,VEGE1,758.4,4810.0,1.0,1.0,4810.0,6.3423
23080,CN,JP,STONE,COMPU,0.3,4488.0,1.0,1.0,4488.0,14960.0
59819,KR,JP,BASIC,BASIC,2150.32,4409.0,1.0,1.0,4409.0,2.050392
23093,CN,JP,STONE,PUBLI,0.3,4398.0,1.0,1.0,4398.0,14660.0
2212,AU,JP,BITUM,ELEC1,6825.9,4257.0,1.0,1.0,4257.0,0.623654
105512,WM,JP,CRUDE,KEROS,6581.31,4250.0,1.0,1.0,4250.0,0.645768
89550,US,JP,NONME,CONST,191.77,3772.0,1.0,1.0,3772.0,19.669396
21213,CN,JP,MOTO1,MOTO1,1484.63,3592.0,1.0,1.0,3592.0,2.419458
96168,WA,JP,MEAT4,HOTEL,2266.02,3536.0,1.0,1.0,3536.0,1.560445
23304,CN,JP,TEXTI,WEARI,2314.13,3428.0,1.0,1.0,3428.0,1.481334
19626,CN,JP,ELECT,RADIO,1557.48,3343.0,1.0,1.0,3343.0,2.146416
23078,CN,JP,STONE,CATTL,0.22,3226.0,1.0,1.0,3226.0,14663.636364
96547,WA,JP,MOTO1,MOTO1,2858.86,3150.0,1.0,1.0,3150.0,1.101838
19552,CN,JP,ELECT,ELEC2,1429.49,3068.0,1.0,1.0,3068.0,2.14622
97323,WA,JP,PLAST,RUBBE,793.91,2816.0,1.0,1.0,2816.0,3.547002
21580,CN,JP,OFFIC,OFFIC,1485.63,2729.0,1.0,1.0,2729.0,1.836931
19604,CN,JP,ELECT,OFFIC,1143.29,2454.0,1.0,1.0,2454.0,2.146437
23082,CN,JP,STONE,FINAN,0.16,2452.0,1.0,1.0,2452.0,15325.0
105511,WM,JP,CRUDE,KERO1,3529.82,2280.0,1.0,1.0,2280.0,0.645925
89717,US,JP,OILSE,FOOD5,356.81,2263.0,1.0,1.0,2263.0,6.342311
97925,WA,JP,REALE,BUSIN,3327.83,2250.0,1.0,1.0,2250.0,0.676116
96801,WA,JP,NONF1,RADIO,291.4,2187.0,1.0,1.0,2187.0,7.505148
10174,BR,JP,CEREA,FOOD5,607.53,2175.0,1.0,1.0,2175.0,3.58007
18483,CN,JP,BASIC,BASIC,669.17,2127.0,1.0,1.0,2127.0,3.178564
18694,CN,JP,BRICK,CONST,2.87,2068.0,1.0,1.0,2068.0,720.557491
11161,BR,JP,PRECI,PREC1,7.42,1970.0,1.0,1.0,1970.0,265.498652
99769,WA,JP,WOODW,REALE,437.76,1962.0,1.0,1.0,1962.0,4.481908
63159,KR,JP,PRIVA,BUSIN,5950.06,1881.0,1.0,1.0,1881.0,0.316131
106065,WM,JP,GASDI,PAPE1,494.55,1872.0,1.0,1.0,1872.0,3.785259
23085,CN,JP,STONE,FORES,0.12,1814.0,1.0,1.0,1814.0,15116.666667
97001,WA,JP,OFFIC,OFFIC,859.35,1800.0,1.0,1.0,1800.0,2.094606
96745,WA,JP,NONF1,COPP1,239.38,1797.0,1.0,1.0,1797.0,7.506893
22407,CN,JP,RADIO,OFFIC,2014.85,1788.0,1.0,1.0,1788.0,0.887411
106017,WM,JP,GASDI,CONST,459.0,1738.0,1.0,1.0,1738.0,3.786492
22750,CN,JP,RUBBE,CONST,865.6,1725.0,1.0,1.0,1725.0,1.992837
19588,CN,JP,ELECT,MACHI,798.72,1714.0,1.0,1.0,1714.0,2.145933
19618,CN,JP,ELECT,POSTT,787.83,1691.0,1.0,1.0,1691.0,2.146402
93145,WA,JP,BASIC,RADIO,205.89,1641.0,1.0,1.0,1641.0,7.970275
