trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,natural_resource/land,natural_resource/water,resources_intensity
6342,RU,RU,FORES,WOODW,812.29,1246035.718,2.0,2.0,1246022.0,13.718,1533.978897
1384,RU,RU,CATTL,CATTL,3380.81,1102498.503,2.0,2.0,1102400.0,98.503,326.10484
6297,RU,RU,FORES,PAPER,670.59,1028673.325,2.0,2.0,1028662.0,11.325,1533.9825
6258,RU,RU,FORES,FORES,464.44,712447.843,2.0,2.0,712440.0,7.843,1533.993289
13271,RU,RU,RAWMI,DAIRY,6201.05,450124.592,2.0,2.0,449837.0,287.592,72.588447
1431,RU,RU,CATTL,RAWMI,1252.13,408325.482,2.0,2.0,408289.0,36.482,326.104703
6309,RU,RU,FORES,PULP5,199.82,306528.375,2.0,2.0,306525.0,3.375,1534.022495
17528,RU,RU,WOODW,CONST,4313.63,257636.769,2.0,2.0,257430.0,206.769,59.726209
17649,RU,RU,WOODW,WOODW,2182.22,130335.602,2.0,2.0,130231.0,104.602,59.726151
6308,RU,RU,FORES,PUBLI,83.79,128530.415,2.0,2.0,128529.0,1.415,1533.958885
17555,RU,RU,WOODW,FURNI,1897.04,113302.932,2.0,2.0,113212.0,90.932,59.726169
1742,RU,RU,CEREA,FOOD5,3551.87,102910.34,2.0,2.0,102833.0,77.34,28.973566
6237,RU,RU,FORES,CONST,66.49,101999.123,2.0,2.0,101998.0,1.123,1534.052083
1418,RU,RU,CATTL,MEATP,296.57,96713.641,2.0,2.0,96705.0,8.641,326.107297
6260,RU,RU,FORES,FURNI,57.74,88567.975,2.0,2.0,88567.0,0.975,1533.910201
16950,RU,RU,WHEAT,FOOD5,3243.92,78923.056,2.0,2.0,78832.0,91.056,24.329532
12907,RU,RU,PULP5,PAPER,627.19,76598.289,2.0,2.0,76547.0,51.289,122.129321
11125,RU,RU,PAPER,FOOD5,702.18,66967.196,2.0,2.0,66940.0,27.196,95.370412
11121,RU,RU,PAPER,FISH5,652.78,62256.283,2.0,2.0,62231.0,25.283,95.371002
3342,RU,RU,DAIRY,FISH5,1081.19,61866.165,2.0,2.0,61817.0,49.165,57.220438
11173,RU,RU,PAPER,PAPER,618.14,58951.941,2.0,2.0,58928.0,23.941,95.369885
11082,RU,RU,PAPER,BEVER,561.56,53555.749,2.0,2.0,53534.0,21.749,95.369594
12188,RU,RU,POULT,POULT,5992.99,52980.159,2.0,2.0,52858.0,122.159,8.840355
11187,RU,RU,PAPER,PRINT,533.42,50872.66,2.0,2.0,50852.0,20.66,95.37074
6339,RU,RU,FORES,WHOLE,32.15,49310.543,2.0,2.0,49310.0,0.543,1533.764946
11087,RU,RU,PAPER,BUSIN,514.2,49039.915,2.0,2.0,49020.0,19.915,95.371285
2832,RU,RU,CONST,PUBLI,21745.86,48992.849,2.0,2.0,48574.0,418.849,2.252974
11223,RU,RU,PAPER,WHOLE,359.78,34311.934,2.0,2.0,34298.0,13.934,95.369209
6324,RU,RU,FORES,STEAM,22.29,34188.376,2.0,2.0,34188.0,0.376,1533.798834
17617,RU,RU,WOODW,REALE,563.94,33682.032,2.0,2.0,33655.0,27.032,59.726269
1403,RU,RU,CATTL,FOOD5,102.96,33575.0,2.0,2.0,33572.0,3.0,326.097514
11517,RU,RU,PIGS9,MEATP,5039.69,33500.006,2.0,2.0,33446.0,54.006,6.647235
11226,RU,RU,PAPER,WOODW,328.0,31280.703,2.0,2.0,31268.0,12.703,95.367997
17008,RU,RU,WHEAT,WHEAT,1267.69,30841.583,2.0,2.0,30806.0,35.583,24.328963
6000,RU,RU,FOOD5,FOOD5,3152.57,27622.432,2.0,2.0,27562.0,60.432,8.761877
13294,RU,RU,RAWMI,HOTEL,374.46,27181.367,2.0,2.0,27164.0,17.367,72.588172
6336,RU,RU,FORES,VEGET,17.14,26297.29,2.0,2.0,26297.0,0.29,1534.264294
11194,RU,RU,PAPER,REALE,265.41,25312.28,2.0,2.0,25302.0,10.28,95.370483
11177,RU,RU,PAPER,PFERT,259.57,24756.053,2.0,2.0,24746.0,10.053,95.373321
1417,RU,RU,CATTL,MEATC,70.5,22990.054,2.0,2.0,22988.0,2.054,326.100057
12940,RU,RU,PULP5,WOODW,182.97,22345.963,2.0,2.0,22331.0,14.963,122.129109
10675,RU,RU,OILSE,VEGE1,267.28,22061.384,2.0,2.0,22049.0,12.384,82.540347
6225,RU,RU,FORES,BUSIN,14.17,21735.239,2.0,2.0,21735.0,0.239,1533.891249
1337,RU,RU,BUSIN,PUBLI,16769.27,21516.16,2.0,2.0,21366.0,150.16,1.283071
3401,RU,RU,DAIRY,PUBLI,371.78,21273.906,2.0,2.0,21257.0,16.906,57.22176
11198,RU,RU,PAPER,RETA1,217.55,20747.426,2.0,2.0,20739.0,8.426,95.368541
6534,RU,RU,FURNI,FURNI,1753.28,20547.644,2.0,2.0,20467.0,80.644,11.719545
13343,RU,RU,RAWMI,RAWMI,281.1,20404.037,2.0,2.0,20391.0,13.037,72.5864
3346,RU,RU,DAIRY,FOOD5,337.44,19308.344,2.0,2.0,19293.0,15.344,57.220081
