trade_id,factor_id,level
1,901,38758.131
1,902,1.807
1,903,0.49
2,901,4685.111
2,902,0.218
2,903,0.059
3,901,6254.521
3,902,0.292
3,903,0.079
4,901,5043.082
4,902,0.235
4,903,0.064
5,901,40923.306
5,902,1.908
5,903,0.517
6,901,6829.882
6,902,0.319
6,903,0.086
7,901,81882.806
7,902,0.826
7,903,1.448
8,901,55616.602
8,902,0.561
8,903,0.983
9,901,142834.309
9,902,1.44
9,903,2.525
10,901,47136.144
10,902,0.475
10,903,0.833
11,901,185087.032
11,902,1.866
11,903,3.272
12,901,428251.337
12,902,4.318
12,903,7.572
13,901,30120.993
13,902,0.304
13,903,0.533
14,901,27339.351
14,902,0.276
14,903,0.483
15,901,40918.007
15,902,0.413
15,903,0.723
16,901,2394812.4
16,902,24.144
16,903,42.341
17,901,100293.938
17,902,1.011
17,903,1.773
18,901,349127.286
18,902,3.52
18,903,6.173
19,901,1214056.153
19,902,12.24
19,903,21.465
20,901,289631.686
20,902,2.92
20,903,5.121
21,901,12219.508
21,902,0.123
21,903,0.216
22,901,632767.942
22,902,6.38
22,903,11.187
23,901,2382880.073
23,902,24.024
23,903,42.13
24,901,55185.915
24,902,0.556
24,903,0.976
25,901,172427.327
25,902,1.738
25,903,3.049
26,901,2422662.633
26,902,24.425
26,903,42.833
27,901,53680.908
27,902,0.541
27,903,0.949
28,901,237536.294
28,902,2.395
28,903,4.2
29,901,42257.117
29,902,0.426
29,903,0.747
30,901,94984.159
30,902,0.958
30,903,1.679
31,901,136095.979
31,902,1.372
31,903,2.406
32,901,817099.504
32,902,8.238
32,903,14.446
33,901,201345.842
33,902,2.03
33,903,3.56
34,901,87573.277
34,902,0.883
34,903,1.548
35,901,33356.466
35,902,0.336
35,903,0.59
36,901,2490578.48
36,902,25.11
36,903,44.034
37,901,111142.946
37,902,1.121
37,903,1.965
38,901,217462.318
38,902,2.192
38,903,3.845
39,901,159277.851
39,902,1.606
39,903,2.816
40,901,11334.868
40,902,0.114
40,903,0.2
41,901,1141824.028
41,902,11.512
41,903,20.188
42,901,32973.631
42,902,0.332
42,903,0.583
43,901,1886782.189
43,902,19.022
43,903,33.359
44,901,424307.715
44,902,4.278
44,903,7.502
45,901,78877.66
45,902,0.795
45,903,1.395
46,901,133189.461
46,902,1.343
46,903,2.355
47,901,625735.313
47,902,6.309
47,903,11.063
48,901,55316.077
48,902,0.558
48,903,0.978
49,901,1252450.76
49,902,12.627
49,903,22.144
50,901,15423.336
50,902,0.155
50,903,0.273
51,901,28679.436
51,902,0.289
51,903,0.507
52,901,27293.058
52,902,0.275
52,903,0.483
53,901,119403.53
53,902,1.204
53,903,2.111
54,901,154677.338
54,902,1.559
54,903,2.735
55,901,733312.152
55,902,7.393
55,903,12.965
56,901,96903.031
56,902,0.977
56,903,1.713
57,901,104852.999
57,902,1.057
57,903,1.854
58,901,66402.637
58,902,0.669
58,903,1.174
59,901,1597436.46
59,902,16.105
59,903,28.243
60,901,14628.576
60,902,0.147
60,903,0.259
61,901,12611.711
61,902,0.127
61,903,0.223
62,901,60712.788
62,902,0.612
62,903,1.073
63,901,68146.396
63,902,0.687
63,903,1.205
64,901,27328.43
64,902,0.276
64,903,0.483
65,901,679947.972
65,902,6.855
65,903,12.022
66,901,388822.784
66,902,3.92
66,903,6.874
67,901,38931.144
67,902,0.393
67,903,0.688
68,901,25561.036
68,902,0.258
68,903,0.452
69,901,81876.544
69,902,0.825
69,903,1.448
70,901,497166.217
70,902,5.012
70,903,8.79
71,901,102786.621
71,902,1.036
71,903,1.817
72,901,68098.643
72,902,0.687
72,903,1.204
73,901,114413.363
73,902,1.154
73,903,2.023
74,901,147226.145
74,902,1.484
74,903,2.603
75,901,418750.782
75,902,4.222
75,903,7.404
76,901,382001.041
76,902,3.851
76,903,6.754
77,901,433372.705
77,902,4.369
77,903,7.662
78,901,597406.59
78,902,6.023
78,903,10.562
79,901,655856.203
79,902,6.612
79,903,11.596
80,901,12597.198
80,902,0.127
80,903,0.223
81,901,475918.406
81,902,4.798
81,903,8.414
82,901,379875.456
82,902,3.83
82,903,6.716
83,901,71057.586
83,902,0.716
83,903,1.256
84,901,14293.266
84,902,0.144
84,903,0.253
85,901,2364374.454
85,902,23.838
85,903,41.803
86,901,155697.932
86,902,1.57
86,903,2.753
87,901,513413.331
87,902,5.176
87,903,9.077
88,901,22904.831
88,902,0.231
88,903,0.405
89,901,118130.598
89,902,1.191
89,903,2.089
90,901,283483.493
90,902,2.858
90,903,5.012
91,901,24724.979
91,902,0.249
91,903,0.437
92,901,147138.262
92,902,1.483
92,903,2.601
93,901,1744592.101
93,902,17.589
93,903,30.845
94,901,416808.746
94,902,4.202
94,903,7.369
95,901,538254.358
95,902,20.625
95,903,7.995
96,901,17792.07
96,902,0.682
96,903,0.264
97,901,26386.363
97,902,1.011
97,903,0.392
98,901,7742.066
98,902,0.297
98,903,0.115
99,901,26077.124
99,902,0.999
99,903,0.387
100,901,153067.89
100,902,5.865
100,903,2.274
101,901,56561.565
101,902,2.167
101,903,0.84
102,901,9229.206
102,902,0.354
102,903,0.137
103,901,89562.39
103,902,3.432
103,903,1.33
104,901,44168.335
104,902,1.692
104,903,0.656
105,901,92936.805
105,902,3.561
105,903,1.38
106,901,104237.289
106,902,3.994
106,903,1.548
107,901,51088.27
107,902,1.958
107,903,0.759
108,901,8802.687
108,902,0.337
108,903,0.131
109,901,29857.628
109,902,1.144
109,903,0.443
110,901,22645.016
110,902,0.868
110,903,0.336
111,901,7091.521
111,902,0.272
111,903,0.105
112,901,14559.872
112,902,0.558
112,903,0.216
113,901,6532.301
113,902,0.25
113,903,0.097
114,901,8681.91
114,902,1.122
114,903,0.483
115,901,5552.534
115,902,0.718
115,903,0.309
116,901,15203.734
116,902,1.965
116,903,0.847
117,901,51084.937
117,902,2.299
117,903,1.246
118,901,887.395
118,902,0.04
118,903,0.022
119,901,815.126
119,902,0.037
119,903,0.02
120,901,2371.976
120,902,0.107
120,903,0.058
121,901,292.609
121,902,0.013
121,903,0.007
122,901,430.273
122,902,0.019
122,903,0.01
123,901,739675.84
123,902,20.666
123,903,7.231
124,901,9386986.279
124,902,262.259
124,903,91.763
125,901,16770.82
125,902,0.469
125,903,0.164
126,901,12588.07
126,902,0.352
126,903,0.123
127,901,9426.569
127,902,0.263
127,903,0.092
128,901,1504684.44
128,902,42.039
128,903,14.709
129,901,971541.263
129,902,27.144
129,903,9.497
130,901,11995.836
130,902,0.335
130,903,0.117
131,901,102441.174
131,902,2.862
131,903,1.001
132,901,10769.381
132,902,0.301
132,903,0.105
133,901,49893.642
133,902,1.394
133,903,0.488
134,901,818994.432
134,902,22.882
134,903,8.006
135,901,9593958.192
135,902,268.042
135,903,93.786
136,901,351523.438
136,902,9.821
136,903,3.436
137,901,193839.105
137,902,5.416
137,903,1.895
138,901,40275.98
138,902,1.125
138,903,0.394
139,901,63349.029
139,902,1.77
139,903,0.619
140,901,36035.124
140,902,1.007
140,903,0.352
141,901,456120.34
141,902,12.743
141,903,4.459
142,901,12988.204
142,902,0.363
142,903,0.127
143,901,23846321.511
143,902,666.233
143,903,233.111
144,901,70465.505
144,902,1.969
144,903,0.689
145,901,10250.255
145,902,0.286
145,903,0.1
146,901,9813.642
146,902,0.274
146,903,0.096
147,901,4275462.804
147,902,119.451
147,903,41.795
148,901,536158.409
148,902,14.98
148,903,5.241
149,901,272021.12
149,902,7.6
149,903,2.659
150,901,10915.603
150,902,0.305
150,903,0.107
151,901,124065.474
151,902,3.466
151,903,1.213
152,901,17723.667
152,902,0.495
