trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
4477378,WA,AU,CEMEN,CONST,365.75,2799408048.18,7,7,2799405174.725,28.0,224.0,2493.0,128.455,7653883.932139
4477544,WA,AU,BASIC,CONST,712.94,1627955664.664,7,7,1627951447.94,38.0,433.0,3651.0,94.724,2283439.93136
3258593,CN,AU,FABRI,CONST,1031.0,1420352061.508,7,7,1420348826.97,50.0,863.0,2273.0,48.538,1377645.064508
3257846,CN,AU,RUBBE,CONST,955.13,1370933451.01,7,7,1370927679.551,50.0,1813.0,3850.0,58.459,1435337.023243
4474964,WA,AU,CRUDE,CRUDE,2370.46,1267605895.038,7,7,1267603348.896,74.0,644.0,1696.0,132.142,534751.016696
4476521,WA,AU,GASDI,CONST,1476.75,1241055821.28,7,7,1241052890.122,62.0,900.0,1841.0,128.158,840396.696313
4476675,WA,AU,HEAVY,FOOD1,1033.85,873326037.606,7,7,873323970.995,43.0,631.0,1303.0,89.611,844731.864009
4476402,WA,AU,KEROS,AIRTR,938.02,791504363.998,7,7,791502513.461,39.0,571.0,1159.0,81.537,843803.292039
4961875,WM,AU,PFERT,WHEAT,556.98,765364431.167,7,7,765356121.979,34.0,3163.0,4923.0,189.188,1374132.699858
4476899,WA,AU,PFERT,WHEAT,311.14,672907975.972,7,7,672905130.426,29.0,1706.0,1013.0,97.546,2162717.670412
3258248,CN,AU,BASIC,CONST,253.98,669094344.099,7,7,669093404.403,12.0,232.0,681.0,14.696,2634437.137172
4478956,WA,AU,HOTEL,BUSIN,1769.2,659408404.556,7,7,659404120.04,272.0,2873.0,1060.0,79.516,372715.580237
3257685,CN,AU,CHEM1,CONST,487.45,634054791.531,7,7,634052877.138,23.0,874.0,992.0,25.393,1300758.624538
4477840,WA,AU,FABRI,CONST,973.68,590763706.408,7,7,590761590.508,95.0,437.0,1515.0,68.9,606732.916778
4477135,WA,AU,RUBBE,CONST,741.31,563676533.229,7,7,563673200.262,91.0,818.0,2401.0,22.967,760378.968622
3257071,CN,AU,KEROS,AIRTR,313.06,563452738.422,7,7,563451772.917,8.0,179.0,759.0,19.505,1799823.479276
4474975,WA,AU,CRUDE,GASDI,1036.07,554041182.055,7,7,554040070.299,32.0,281.0,741.0,57.756,534752.653831
3257264,CN,AU,HEAVY,FOOD1,275.7,496210653.831,7,7,496209804.654,7.0,157.0,668.0,17.177,1799821.014984
4477314,WA,AU,CERAM,CONST,166.77,477254423.277,7,7,477253428.323,11.0,197.0,762.0,24.954,2861752.253265
4478071,WA,AU,MOTO1,MOTO1,861.39,450711944.488,7,7,450710227.838,78.0,378.0,1224.0,36.65,523237.957822
4474972,WA,AU,CRUDE,MOTOR,829.83,443752273.717,7,7,443751382.458,26.0,225.0,594.0,46.259,534750.820912
3258101,CN,AU,CEMEN,CONST,106.59,417947598.332,7,7,417947204.041,5.0,80.0,303.0,6.291,3921077.008462
3258040,CN,AU,CERAM,CONST,269.41,352009197.203,7,7,352007620.75,13.0,372.0,1181.0,10.453,1306592.914899
3257707,CN,AU,CHEM1,HEALT,266.54,346698589.979,7,7,346697544.094,12.0,478.0,542.0,13.885,1300737.562764
4479171,WA,AU,LANDT,CONST,751.23,339595559.633,7,7,339595035.178,70.0,182.0,255.0,17.455,452052.713061
3258340,CN,AU,ALUM1,FABRI,121.51,333478379.009,7,7,333477678.407,5.0,115.0,567.0,13.602,2744452.135701
