trade_id,factor_id,level
1,901,36834.641
1,902,0.547
1,903,0.603
2,901,64258.577
2,902,0.954
2,903,1.052
3,901,36292.761
3,902,0.539
3,903,0.594
4,901,46591.353
4,902,0.691
4,903,0.763
5,901,21423.303
5,902,0.318
5,903,0.351
6,901,17623.499
6,902,0.262
6,903,0.289
7,901,23499.157
7,902,0.349
7,903,0.385
8,901,138679.077
8,902,2.058
8,903,2.27
9,901,24629.804
9,902,0.366
9,903,0.403
10,901,57439.769
10,902,0.852
10,903,0.94
11,901,344468.411
11,902,5.112
11,903,5.639
12,901,295058.545
12,902,4.379
12,903,4.831
13,901,16186.473
13,902,0.24
13,903,0.265
14,901,92672.189
14,902,1.375
14,903,1.517
15,901,15106.583
15,902,0.224
15,903,0.247
16,901,320788.965
16,902,9.554
16,903,4.003
17,901,33243.948
17,902,0.99
17,903,0.415
18,901,51321.768
18,902,1.529
18,903,0.64
19,901,42545.203
19,902,1.267
19,903,0.531
20,901,33831.553
20,902,1.008
20,903,0.422
21,901,172224.413
21,902,5.129
21,903,2.149
22,901,78880.911
22,902,2.349
22,903,0.984
23,901,171274.479
23,902,5.101
23,903,2.137
24,901,60515.947
24,902,1.802
24,903,0.755
25,901,39392.66
25,902,1.173
25,903,0.492
26,901,241017.362
26,902,7.178
26,903,3.008
27,901,232140.5
27,902,6.914
27,903,2.897
28,901,49686.478
28,902,1.48
28,903,0.62
29,901,16312.088
29,902,0.988
29,903,2.607
30,901,13450.004
30,902,0.815
30,903,2.149
31,901,27596.6
31,902,1.672
31,903,4.41
32,901,7719.402
32,902,0.415
32,903,0.263
33,901,27809.684
33,902,0.761
33,903,0.216
34,901,1140847.267
34,902,31.237
34,903,8.879
35,901,83207.155
35,902,2.278
35,903,0.648
36,901,34440.061
36,902,0.943
36,903,0.268
37,901,44722.55
37,902,1.225
37,903,0.348
38,901,312998.594
38,902,8.57
38,903,2.436
39,901,82582.86
39,902,2.261
39,903,0.643
40,901,155579.334
40,902,4.26
40,903,1.211
41,901,324857.133
41,902,8.895
41,903,2.528
42,901,255259.186
42,902,6.989
42,903,1.987
43,901,28754.651
43,902,0.787
43,903,0.224
44,901,172769.329
44,902,4.73
44,903,1.345
45,901,22209.985
45,902,0.608
45,903,0.173
46,901,214642.668
46,902,5.877
46,903,1.671
47,901,65977.733
47,902,1.806
47,903,0.514
48,901,38444.335
48,902,1.053
48,903,0.299
49,901,60078.28
49,902,1.645
49,903,0.468
50,901,40895.791
50,902,1.12
50,903,0.318
51,901,9322.126
51,902,0.434
51,903,0.305
52,901,3610.688
