trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
4606484,WL,BR,ELEC2,CROPS,347.55,3883110585.386,7.0,7.0,3883109627.506,17.0,146.0,113.0,681.88,11172811.351995
2978821,US,BR,GASDI,LANDT,2991.16,2613044378.809,7.0,7.0,2613042391.946,27.0,469.0,1461.0,29.863,873588.96843
4606967,WL,BR,ELEC6,CONST,141.87,2031617896.953,7.0,7.0,2031617708.66,5.0,82.0,78.0,23.293,14320278.402432
4606448,WL,BR,ELEC1,CONST,71.71,1881842331.708,7.0,7.0,1881842103.124,2.0,70.0,30.0,126.584,26242397.597378
4952107,WM,BR,PFERT,PFERT,1290.68,1773565185.184,7.0,7.0,1773545928.783,79.0,7331.0,11408.0,438.401,1374132.383847
4604014,WL,BR,NATUR,ELEC2,1433.0,1491042295.563,7.0,7.0,1491041521.215,18.0,251.0,494.0,11.348,1040504.044357
4952070,WM,BR,PFERT,OILSE,991.03,1361808523.509,7.0,7.0,1361793738.888,60.0,5629.0,8759.0,336.621,1374134.510064
2978713,US,BR,KEROS,AIRTR,1455.84,1262068508.651,7.0,7.0,1262067496.881,14.0,244.0,740.0,13.77,866900.558201
3792246,RU,BR,PFERT,PFERT,358.87,1108389841.487,7.0,7.0,1108388225.714,7.0,1342.0,249.0,17.773,3088555.30272
4606518,WL,BR,ELEC2,WOODW,92.9,1037924702.173,7.0,7.0,1037924445.912,5.0,39.0,30.0,182.261,11172494.103046
4606558,WL,BR,ELEC2,DISTR,78.45,876454368.461,7.0,7.0,876454152.554,4.0,33.0,25.0,153.907,11172139.814672
3792211,RU,BR,PFERT,OILSE,275.56,851062450.717,7.0,7.0,851061211.07,5.0,1030.0,191.0,13.647,3088483.273033
2979291,US,BR,PFERT,PFERT,354.43,841848870.437,7.0,7.0,841847825.127,6.0,498.0,512.0,29.31,2375219.000753
2978759,US,BR,GASDI,WOODW,894.1,781075668.112,7.0,7.0,781075074.186,8.0,140.0,437.0,8.926,873588.712797
4606406,WL,BR,ELEC1,WOODW,26.64,699180321.988,7.0,7.0,699180236.957,1.0,26.0,11.0,47.031,26245507.582132
2979256,US,BR,PFERT,OILSE,272.15,646402499.101,7.0,7.0,646401696.596,5.0,382.0,393.0,22.505,2375169.939743
3246340,CN,BR,ELECT,CONST,477.06,596637808.445,7.0,7.0,596635954.273,22.0,414.0,1398.0,20.172,1250655.700426
4603555,WL,BR,WHEAT,FOOD5,1643.54,575430416.768,7.0,7.0,575405002.405,215.0,23534.0,1617.0,48.363,350116.466145
4831919,WF,BR,PFERT,PFERT,569.47,569449774.691,7.0,7.0,569438135.012,119.0,5520.0,5952.0,48.679,999964.483978
634500,DE,BR,SEACO,CRUDE,257.6,557294236.309,7.0,7.0,557294135.427,7.0,42.0,50.0,1.882,2163409.302442
3245859,CN,BR,BASIC,MOTO1,211.19,556371765.163,7.0,7.0,556370983.942,10.0,193.0,566.0,12.221,2634460.747019
