trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
82745,969.43,8.3e-05,0.000599,46,0.228059
82746,1861.83,1.6e-05,0.00115,45,0.028419
82747,26184.86,1e-05,0.016175,47,0.039925
82748,983.2,2e-05,0.000607,46,0.023475
82749,3045.2,3e-06,0.001881,47,0.020324
82750,45278.87,1.3e-05,0.02797,48,0.221046
82751,583.27,0.000103,0.00036,40,0.338316
82752,50510.26,4e-06,0.031201,48,0.026101
82753,109644.31,0.0,0.06773,48,0.014331
82754,3558.26,3e-06,0.002198,48,0.015461
82755,21083.54,1e-06,0.013024,48,0.056159
82756,773.1,5.2e-05,0.000478,45,0.081985
82757,11340.8,3e-06,0.007005,48,0.174205
82758,14423.56,1e-06,0.00891,48,0.036282
82759,50510.26,1.2e-05,0.031201,48,0.026101
82760,413.33,2.4e-05,0.000255,46,0.022192
82761,38480.09,1e-06,0.02377,48,0.048112
82762,62800.83,0.0,0.038793,48,0.086963
82763,69277.89,0.0,0.042794,48,0.054299
82764,9178.6,1e-06,0.00567,46,0.071199
82765,30348.81,2e-06,0.018747,48,0.014604
82766,109644.31,1e-06,0.06773,48,0.014331
82767,6365.79,2e-06,0.003932,48,0.018551
82768,109644.31,0.0,0.06773,48,0.014331
82769,11340.8,3.1e-05,0.007005,48,0.174205
82770,7555.22,1e-06,0.004667,43,0.245479
82771,828.51,8.4e-05,0.000512,46,0.070673
82772,969.43,6.2e-05,0.000599,46,0.228059
82773,983.2,1e-05,0.000607,46,0.023475
82774,3045.2,7e-06,0.001881,47,0.020324
82775,32301.43,0.0,0.019953,48,0.043041
82776,55865.34,1e-06,0.034509,48,0.038525
82777,16125.2,8.1e-05,0.009961,48,0.042456
82778,38480.09,1.4e-05,0.02377,48,0.048112
82779,62800.83,0.0,0.038793,48,0.086963
82780,15103.3,1.7e-05,0.00933,48,0.095089
82781,7964.27,1.3e-05,0.00492,48,0.015981
82782,6365.79,1.7e-05,0.003932,48,0.018551
82783,69277.89,0.0,0.042794,48,0.054299
82784,4500.29,3.1e-05,0.00278,47,0.027531
82785,34144.73,1e-06,0.021092,48,0.021903
82786,56483.56,1.1e-05,0.034891,48,0.014941
82787,55962.21,1e-06,0.034569,48,0.029047
82788,70656.76,1e-06,0.043646,48,0.092011
82789,30348.81,1.7e-05,0.018747,48,0.014604
82790,17998.39,2e-06,0.011118,48,0.170138
82791,2692.1,1.1e-05,0.001663,48,0.031764
82792,747.66,1.3e-05,0.000462,43,0.020884
82793,2062.07,1.5e-05,0.001274,48,0.019231
82794,109644.31,0.0,0.06773,48,0.014331
82795,9689.6,1e-06,0.005985,48,0.012337
82796,13734.81,9.5e-05,0.008484,48,0.017983
82797,8515.62,0.006726,0.00526,46,0.071929
82798,45278.87,3.6e-05,0.02797,48,0.221046
82799,62800.83,2e-06,0.038793,48,0.086963
82800,17998.39,3e-06,0.011118,48,0.170138
82801,2692.1,1.1e-05,0.001663,48,0.031764
82802,921.48,1.1e-05,0.000569,46,0.04086
82803,2062.07,5e-06,0.001274,48,0.019231
82804,1175.36,6.8e-05,0.000726,46,0.033435
82805,10486.24,0.000588,0.006478,48,0.019415
82806,6416.5,5e-06,0.003964,48,0.018097
82807,20004.74,1.6e-05,0.012357,48,0.018462
82808,13734.81,5.3e-05,0.008484,48,0.017983
82809,1639.67,1.8e-05,0.001013,48,0.041818
82810,1803.35,1.7e-05,0.001114,48,0.042818
82811,773.1,0.000789,0.000478,45,0.081985
82812,45278.87,1e-06,0.02797,48,0.221046
82813,5700.83,2e-06,0.003522,48,0.070365
82814,23347.42,0.000484,0.014422,48,0.057318
82815,38480.09,0.0,0.02377,48,0.048112
82816,62800.83,0.0,0.038793,48,0.086963
82817,69277.89,0.0,0.042794,48,0.054299
82818,9178.6,1e-06,0.00567,46,0.071199
82819,18658.01,1e-06,0.011525,46,0.086045
82820,1175.36,1.7e-05,0.000726,46,0.033435
82821,10486.24,3.1e-05,0.006478,48,0.019415
82822,13734.81,2e-06,0.008484,48,0.017983
82823,1639.67,6e-06,0.001013,48,0.041818
82824,1861.83,5.9e-05,0.00115,45,0.028419
82825,21083.54,5.2e-05,0.013024,48,0.056159
82826,1440.45,4.2e-05,0.00089,47,0.026934
82827,3045.2,2e-05,0.001881,47,0.020324
82828,45278.87,2e-06,0.02797,48,0.221046
82829,5700.83,1.4e-05,0.003522,48,0.070365
82830,32301.43,0.0,0.019953,48,0.043041
82831,50510.26,0.0,0.031201,48,0.026101
82832,55865.34,6e-06,0.034509,48,0.038525
82833,38480.09,1.9e-05,0.02377,48,0.048112
82834,524.46,1.9e-05,0.000324,46,0.05143
82835,62800.83,0.0,0.038793,48,0.086963
82836,7964.27,3e-06,0.00492,48,0.015981
82837,56483.56,0.0,0.034891,48,0.014941
82838,9689.6,4e-06,0.005985,48,0.012337
82839,10486.24,3.5e-05,0.006478,48,0.019415
82840,20004.74,5e-06,0.012357,48,0.018462
82841,9718.71,3e-06,0.006003,48,0.027006
82842,13734.81,3e-06,0.008484,48,0.017983
82843,525.72,0.001198,0.000325,46,0.022147
82844,456.02,0.000132,0.000282,41,0.067054
82845,950.98,0.000652,0.000587,46,0.039322
82846,1861.83,8.1e-05,0.00115,45,0.028419
82847,21083.54,3.1e-05,0.013024,48,0.056159
82848,1440.45,5.6e-05,0.00089,47,0.026934
82849,416.58,2.4e-05,0.000257,46,0.059354
82850,3045.2,0.001412,0.001881,47,0.020324
82851,14423.56,8e-06,0.00891,48,0.036282
82852,3830.14,0.000128,0.002366,42,0.202005
82853,8515.62,0.000446,0.00526,46,0.071929
82854,6744.95,0.000136,0.004166,48,0.458926
82855,773.1,0.000686,0.000478,45,0.081985
82856,1423.5,0.00014,0.000879,39,0.147376
82857,2796.8,6.1e-05,0.001728,43,0.300735
82858,45278.87,0.000111,0.02797,48,0.221046
82859,5700.83,0.000514,0.003522,48,0.070365
82860,23347.42,1.5e-05,0.014422,48,0.057318
82861,50510.26,2e-05,0.031201,48,0.026101
82862,8315.27,7e-06,0.005137,48,0.034813
82863,88641.33,4e-06,0.054756,47,0.195194
82864,30987.17,4e-06,0.019141,45,0.195214
82865,68744.87,4e-06,0.042465,47,0.195197
82866,13944.65,4e-06,0.008614,45,0.19524
82867,18646.14,4e-06,0.011518,45,0.19523
82868,16743.85,4e-06,0.010343,45,0.195233
82869,3831.24,3e-06,0.002367,41,0.19536
82870,6011.04,3e-06,0.003713,42,0.19531
82871,55865.34,5e-06,0.034509,48,0.038525
82872,38480.09,1e-05,0.02377,48,0.048112
