trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
2769272,GB,GB,SANDC,CONST,270.05,263246.0,1.0,1.0,263246.0,974.804666
2776644,GB,GB,CONST,CONST,98916.24,151206.0,1.0,1.0,151206.0,1.528627
2772922,GB,GB,CEMEN,CONST,8642.81,91666.0,1.0,1.0,91666.0,10.606041
2769200,GB,GB,STONE,CEMEN,103.58,74697.0,1.0,1.0,74697.0,721.152732
2769201,GB,GB,STONE,NONME,53.16,38333.0,1.0,1.0,38333.0,721.087284
2776660,GB,GB,CONST,REALE,18086.86,27648.0,1.0,1.0,27648.0,1.528624
2769264,GB,GB,SANDC,CEMEN,8.64,8420.0,1.0,1.0,8420.0,974.537037
2779367,GB,GB,BUSIN,BUSIN,70017.73,7971.0,1.0,1.0,7971.0,0.113843
2776665,GB,GB,CONST,PUBLI,4647.89,7105.0,1.0,1.0,7105.0,1.528651
2769231,GB,GB,STONE,BUSIN,9.17,6612.0,1.0,1.0,6612.0,721.046892
2773020,GB,GB,NONME,CONST,343.11,4825.0,1.0,1.0,4825.0,14.062546
2770620,GB,GB,WOODW,CONST,8727.37,3715.0,1.0,1.0,3715.0,0.425672
2777043,GB,GB,WHOLE,CONST,26147.43,3306.0,1.0,1.0,3306.0,0.126437
2773609,GB,GB,FOUND,MOTO1,1381.18,3112.0,1.0,1.0,3112.0,2.253146
2779370,GB,GB,BUSIN,HEALT,26346.25,2999.0,1.0,1.0,2999.0,0.11383
2772830,GB,GB,BRICK,CONST,865.52,2981.0,1.0,1.0,2981.0,3.444172
2776664,GB,GB,CONST,BUSIN,1876.74,2869.0,1.0,1.0,2869.0,1.528715
2779360,GB,GB,BUSIN,FINAN,24136.46,2748.0,1.0,1.0,2748.0,0.113853
2776648,GB,GB,CONST,RETA1,1733.52,2650.0,1.0,1.0,2650.0,1.528682
2778409,GB,GB,FINAN,REALE,41859.15,2495.0,1.0,1.0,2495.0,0.059605
2769276,GB,GB,SANDC,HOTEL,2.56,2492.0,1.0,1.0,2492.0,973.4375
2775933,GB,GB,DISTR,DISTR,13442.3,2390.0,1.0,1.0,2390.0,0.177797
2776667,GB,GB,CONST,HEALT,1544.58,2361.0,1.0,1.0,2361.0,1.528571
2771963,GB,GB,PLAST,PLAST,5317.55,2319.0,1.0,1.0,2319.0,0.436103
2769217,GB,GB,STONE,WHOLE,3.17,2285.0,1.0,1.0,2285.0,720.820189
2773917,GB,GB,MACHI,CONST,3662.96,2279.0,1.0,1.0,2279.0,0.622174
2779346,GB,GB,BUSIN,CONST,19685.27,2241.0,1.0,1.0,2241.0,0.113841
2769261,GB,GB,SANDC,GLASS,2.25,2195.0,1.0,1.0,2195.0,975.555556
2773767,GB,GB,FABRI,CONST,5388.77,2195.0,1.0,1.0,2195.0,0.407329
2769196,GB,GB,STONE,RUBBE,3.0,2166.0,1.0,1.0,2166.0,722.0
2776657,GB,GB,CONST,FINAN,1275.66,1950.0,1.0,1.0,1950.0,1.52862
2777067,GB,GB,WHOLE,HEALT,15000.8,1897.0,1.0,1.0,1897.0,0.12646
2776649,GB,GB,CONST,HOTEL,1201.54,1837.0,1.0,1.0,1837.0,1.528871
