trade_id,region1,region2,industry1,industry2,amount
11109,IN,IN,VEGET,FOOD5,41813.83
2177,IN,IN,CONST,CONST,34970.21
7518,IN,IN,PADDY,PADDY,33404.99
619,IN,IN,BASIC,CONST,31284.58
7806,IN,IN,PFERT,PFERT,27396.23
11485,IN,IN,WHOLE,WHOLE,27072.75
494,IN,IN,AUXIL,FINAN,26172.50
11382,IN,IN,WHOLE,CONST,25986.00
953,IN,IN,BITUM,BASIC,25824.98
10644,IN,IN,TEXTI,TEXTI,17934.02
5550,IN,IN,LANDT,CONST,16360.37
1387,IN,IN,CEMEN,CONST,16344.93
6665,IN,IN,MOTO1,MOTO1,16025.97
2088,IN,IN,COMPU,COMPU,14655.24
656,IN,IN,BASIC,MOTO1,14574.81
3968,IN,IN,FABRI,CONST,14290.49
9053,IN,IN,RAWMI,DAIRY,13179.55
4801,IN,IN,GASDI,CONST,12627.51
11511,IN,IN,WOODW,CONST,10834.12
7225,IN,IN,NONME,CONST,10465.36
632,IN,IN,BASIC,ELECT,10348.57
7966,IN,IN,PLANT,TEXTI,10300.91
11476,IN,IN,WHOLE,TEXTI,10123.87
1461,IN,IN,CERAM,CONST,9922.01
4170,IN,IN,FINAN,REALE,9901.49
651,IN,IN,BASIC,MACHI,8432.08
9902,IN,IN,SALEM,LANDT,8009.40
1526,IN,IN,CEREA,FOOD5,7677.81
9396,IN,IN,RENTI,CONST,7460.26
11360,IN,IN,WHOLE,BEVER,7307.28
2255,IN,IN,CONST,REALE,7279.08
2482,IN,IN,CRUDE,GASDI,7101.76
633,IN,IN,BASIC,FABRI,6944.57
11359,IN,IN,WHOLE,BASIC,6764.18
1182,IN,IN,BUSIN,BUSIN,6714.73
10651,IN,IN,TEXTI,WEARI,6526.84
5572,IN,IN,LANDT,FOOD5,6275.61
4292,IN,IN,FISHF,FISH5,6154.17
2489,IN,IN,CRUDE,MOTOR,6125.08
11381,IN,IN,WHOLE,COMPU,5825.15
11350,IN,IN,WHEAT,WHEAT,5703.88
4573,IN,IN,FOUND,CONST,5694.99
2740,IN,IN,DISTR,DISTR,5689.90
4090,IN,IN,FINAN,CONST,5669.84
11089,IN,IN,VEGET,BEVER,5594.49
11307,IN,IN,WHEAT,FOOD5,5570.71
8149,IN,IN,POSTT,POSTT,5538.97
9395,IN,IN,RENTI,COMPU,5272.80
1193,IN,IN,BUSIN,COMPU,5135.49
10327,IN,IN,SUGAR,BEVER,5112.30
958,IN,IN,BITUM,BITUM,5098.07
11432,IN,IN,WHOLE,MOTO1,4961.85
2103,IN,IN,COMPU,FINAN,4797.76
7802,IN,IN,PFERT,PADDY,4724.67
8258,IN,IN,PREC1,FOUND,4704.97
10987,IN,IN,TRANS,TRANS,4509.40
11404,IN,IN,WHOLE,FOOD5,4481.11
2956,IN,IN,ELEC1,DISTR,4466.75
10909,IN,IN,TRAN2,TRAN2,4465.59
1212,IN,IN,BUSIN,FINAN,4332.69
9762,IN,IN,RUBBE,CONST,4202.87
2250,IN,IN,CONST,PUBLI,4031.16
5528,IN,IN,LANDT,BASIC,4010.28
7771,IN,IN,PFERT,CHEM1,3982.48
5646,IN,IN,LANDT,TEXTI,3970.70
1269,IN,IN,BUSIN,PUBLI,3966.04
5656,IN,IN,LANDT,WHOLE,3833.53
9455,IN,IN,RENTI,RENTI,3813.61
7486,IN,IN,OILSE,VEGE1,3780.08
4489,IN,IN,FORES,FORES,3696.87
7972,IN,IN,PLANT,WHOLE,3674.67
5162,IN,IN,HOTEL,BUSIN,3656.24
4010,IN,IN,FABRI,MOTO1,3627.84
601,IN,IN,BASIC,BASIC,3615.98
8100,IN,IN,POSTT,FINAN,3528.51
9610,IN,IN,RETA1,TEXTI,3520.75
9068,IN,IN,RAWMI,HOTEL,3490.19
9804,IN,IN,RUBBE,MOTO1,3466.48
10528,IN,IN,SUPPO,SUPPO,3394.24
9496,IN,IN,RETA1,BEVER,3385.07
6770,IN,IN,MOTOR,LANDT,3337.61
4401,IN,IN,FOOD5,HOTEL,3291.56
7814,IN,IN,PFERT,RADIO,3224.72
5517,IN,IN,KEROS,AIRTR,3186.72
6892,IN,IN,NAPHT,PFERT,3156.42
5600,IN,IN,LANDT,MOTO1,3142.55
10539,IN,IN,SUPPO,WHOLE,3107.57
2303,IN,IN,COPP1,COPP1,3087.50
691,IN,IN,BASIC,TRANS,3060.18
1689,IN,IN,CHEM1,TEXTI,3016.42
1202,IN,IN,BUSIN,EDUCA,3016.39
1834,IN,IN,COKEO,BASIC,3005.09
1298,IN,IN,BUSIN,WHOLE,3002.01
451,IN,IN,AUXIL,AUXIL,2991.66
4003,IN,IN,FABRI,MACHI,2954.50
6848,IN,IN,NAPHT,CONST,2934.01
3846,IN,IN,ELECT,CONST,2921.86
11151,IN,IN,VEGET,VEGET,2917.81
11413,IN,IN,WHOLE,HOTEL,2913.72
1509,IN,IN,CEREA,CEREA,2908.50
10436,IN,IN,SUPPO,CONST,2890.42
4591,IN,IN,FOUND,FOUND,2870.55
4197,IN,IN,FINAN,WHOLE,2863.69
11460,IN,IN,WHOLE,RAWMI,2852.76
