trade_id,factor_id,level
1,901,440986038.945
1,902,28081.714
1,903,14440.563
2,901,14009707.603
2,902,892.129
2,903,458.763
3,901,618615.421
3,902,39.393
3,903,20.257
4,901,11389.163
4,902,0.725
4,903,0.373
5,901,3995474.913
5,902,254.429
5,903,130.836
6,901,25924.248
6,902,1.651
6,903,0.849
7,901,1020105.712
7,902,64.96
7,903,33.404
8,901,518754.284
8,902,33.034
8,903,16.987
9,901,68675.613
9,902,4.373
9,903,2.249
10,901,58687.041
10,902,3.737
10,903,1.922
11,901,315054.482
11,902,20.062
11,903,10.317
12,901,234508.696
12,902,14.933
12,903,7.679
13,901,28462013.374
13,902,1812.443
13,903,932.019
14,901,40544.788
14,902,2.582
14,903,1.328
15,901,186418.91
15,902,11.871
15,903,6.104
16,901,1878159.167
16,902,119.6
16,903,61.502
17,901,170096043.83
17,902,10831.609
17,903,5569.978
18,901,37578.807
18,902,2.393
18,903,1.231
19,901,17033543.425
19,902,1084.685
19,903,557.782
20,901,165673.727
20,902,10.55
20,903,5.425
21,901,565609.979
21,902,36.018
21,903,18.522
22,901,21234087.63
22,902,1352.173
22,903,695.333
23,901,236327.272
23,902,15.049
23,903,7.739
24,901,50409.034
24,902,3.21
24,903,1.651
25,901,202083.252
25,902,12.869
25,903,6.617
26,901,683452.097
26,902,43.522
26,903,22.38
27,901,14358250.875
27,902,914.324
27,903,470.176
28,901,350500309.026
28,902,22319.639
28,903,11477.51
29,901,442281679.496
29,902,28164.219
29,903,14482.99
30,901,103525675.686
30,902,6592.45
30,903,3390.06
31,901,138619.567
31,902,8.827
31,903,4.539
32,901,50640742.151
32,902,3224.771
32,903,1658.286
33,901,57349.06
33,902,3.652
33,903,1.878
34,901,1151170.342
34,902,73.306
34,903,37.696
35,901,1943841.523
35,902,123.783
35,903,63.653
36,901,249013600.936
36,902,15857.03
36,903,8154.219
37,901,2108859.429
37,902,134.291
37,903,69.057
38,901,183702.553
38,902,11.698
38,903,6.016
39,901,319546.011
39,902,20.348
39,903,10.464
40,901,613649.476
40,902,39.077
40,903,20.095
41,901,277374.972
41,902,17.663
41,903,9.083
42,901,27400050.448
42,902,1744.818
42,903,897.244
43,901,7575182.164
43,902,482.383
43,903,248.057
44,901,13850664.922
44,902,882.002
44,903,453.555
45,901,103779733.139
45,902,6608.628
45,903,3398.379
46,901,2362692.693
46,902,150.455
46,903,77.369
47,901,9189419.111
47,902,585.176
47,903,300.917
48,901,2756925.103
48,902,175.559
48,903,90.278
49,901,5476556.36
49,902,348.744
49,903,179.336
50,901,2374423.973
50,902,151.202
50,903,77.753
51,901,512713.814
51,902,32.649
51,903,16.789
52,901,33117066.941
52,902,2108.874
52,903,1084.454
53,901,13353628.225
53,902,850.351
53,903,437.279
54,901,13462.983
54,902,0.857
54,903,0.441
55,901,352253.283
55,902,22.431
55,903,11.535
56,901,237025877.277
56,902,15093.659
56,903,7761.668
57,901,1033379.697
57,902,65.805
57,903,33.839
58,901,225806591.046
58,902,14379.222
58,903,7394.28
59,901,616753.218
59,902,39.274
59,903,20.196
60,901,3905416.528
60,902,248.694
60,903,127.887
61,901,236526.201
61,902,15.062
61,903,7.745
62,901,1694571.357
62,902,107.909
62,903,55.491
