trade_id,factor_id,level
1,901,65527.213
1,902,1.708
1,903,1.038
2,901,58685.722
2,902,1.529
2,903,0.93
3,901,51400.974
3,902,1.34
3,903,0.814
4,901,195644.274
4,902,5.099
4,903,3.099
5,901,51040.694
5,902,1.33
5,903,0.809
6,901,47128.477
6,902,1.228
6,903,0.747
7,901,341304.332
7,902,8.895
7,903,5.406
8,901,192766.121
8,902,5.024
8,903,3.054
9,901,30718.643
9,902,0.801
9,903,0.487
10,901,24056.266
10,902,0.627
10,903,0.381
11,901,247466.274
11,902,6.449
11,903,3.92
12,901,113788.176
12,902,2.965
12,903,1.802
13,901,93605.819
13,902,2.439
13,903,1.483
14,901,34074.806
14,902,0.888
14,903,0.54
15,901,27767.037
15,902,0.724
15,903,0.44
16,901,124813.907
16,902,3.253
16,903,1.977
17,901,34795.338
17,902,0.907
17,903,0.551
18,901,27678.3
18,902,0.721
18,903,0.438
19,901,30116.775
19,902,0.785
19,903,0.477
20,901,736582.916
20,902,19.196
20,903,11.668
21,901,130819.252
21,902,3.409
21,903,2.072
22,901,24676.443
22,902,0.643
22,903,0.391
23,901,305086.775
23,902,7.951
23,903,4.833
24,901,1829616.641
24,902,47.681
24,903,28.982
25,901,74265.28
25,902,1.935
25,903,1.176
26,901,64647.066
26,902,1.685
26,903,1.024
27,901,50208.814
27,902,1.308
27,903,0.795
28,901,22832.303
28,902,0.595
28,903,0.362
29,901,35701.298
29,902,0.93
29,903,0.566
30,901,32605.194
30,902,0.85
30,903,0.516
31,901,1567180.053
31,902,40.842
31,903,24.825
32,901,70887.591
32,902,1.847
32,903,1.123
33,901,49902.535
33,902,1.3
33,903,0.79
34,901,29287.663
34,902,0.763
34,903,0.464
35,901,85973.168
35,902,2.241
35,903,1.362
36,901,16237.795
36,902,0.423
36,903,0.257
37,901,52153.321
37,902,1.359
37,903,0.826
38,901,492220.982
38,902,12.828
38,903,7.797
39,901,80237.415
39,902,2.091
39,903,1.271
40,901,139101.22
40,902,8.092
40,903,3.803
41,901,14415.314
41,902,0.839
41,903,0.394
42,901,22254.258
42,902,1.295
42,903,0.608
43,901,18448.545
43,902,1.073
43,903,0.504
44,901,14670.113
44,902,0.853
44,903,0.401
45,901,74680.331
45,902,4.345
45,903,2.042
46,901,34204.515
46,902,1.99
46,903,0.935
47,901,74268.418
47,902,4.321
47,903,2.031
48,901,26241.059
48,902,1.527
48,903,0.717
49,901,17081.532
49,902,0.994
49,903,0.467
50,901,104510.481
50,902,6.08
50,903,2.858
51,901,100661.277
51,902,5.856
51,903,2.752
52,901,21545.16
52,902,1.253
52,903,0.589
53,901,7887.448
53,902,0.585
53,903,0.282
54,901,425965.262
54,902,15.001
54,903,6.502
55,901,17474534.998
55,902,615.399
55,903,266.719
56,901,1274496.929
56,902,44.884
56,903,19.453
57,901,527523.766
57,902,18.578
57,903,8.052
58,901,83275.282
58,902,2.933
58,903,1.271
59,901,685022.257
59,902,24.124
59,903,10.456
60,901,4794248.142
60,902,168.838
60,903,73.176
61,901,168369.394
61,902,5.929
61,903,2.57
62,901,225615.332
62,902,7.945
62,903,3.444
63,901,59076.082
63,902,2.08
63,903,0.902
64,901,1264934.515
64,902,44.547
64,903,19.307
65,901,78873.377
65,902,2.778
65,903,1.204
66,901,2383032.847
66,902,83.923
66,903,36.373
67,901,254804.494
67,902,8.973
67,903,3.889
68,901,93375.782
68,902,3.288
68,903,1.425
69,901,39740.484
69,902,1.4
69,903,0.607
70,901,4975887.217
70,902,175.235
70,903,75.948
71,901,3909844.652
71,902,137.693
71,903,59.677
72,901,143553.406
72,902,5.056
72,903,2.191
73,901,440439.463
73,902,15.511
73,903,6.723
74,901,2646334.684
74,902,93.196
74,903,40.392
75,901,83918.526
75,902,2.955
75,903,1.281
76,901,340193.801
76,902,11.981
76,903,5.192
77,901,74443.792
77,902,2.622
77,903,1.136
78,901,53743.763
78,902,1.893
78,903,0.82
79,901,61158.755
79,902,2.154
79,903,0.933
80,901,49208.693
80,902,1.733
80,903,0.751
81,901,166739.198
81,902,5.872
81,903,2.545
82,901,3287715.121
82,902,115.783
82,903,50.181
83,901,200998.543
83,902,7.079
83,903,3.068
84,901,1010591.193
84,902,35.59
84,903,15.425
85,901,60702.756
85,902,2.138
85,903,0.927
86,901,159582.94
86,902,5.62
86,903,2.436
87,901,55075.816
87,902,1.94
87,903,0.841
88,901,588857.86
88,902,20.738
88,903,8.988
89,901,84006.731
89,902,2.958
89,903,1.282
90,901,920228.365
90,902,32.408
90,903,14.046
91,901,626407.194
91,902,22.06
91,903,9.561
92,901,61657.844
92,902,4.028
92,903,2.184
93,901,280254.094
93,902,18.306
93,903,9.925
94,901,152543.596
94,902,9.964
94,903,5.402
95,901,117732.716
95,902,7.69
95,903,4.169
96,901,66555.31
96,902,4.347
96,903,2.357
97,901,337916.666
97,902,22.073
97,903,11.967
98,901,24340.983
98,902,1.59
98,903,0.862
99,901,19626.072
99,902,1.282
99,903,0.695
100,901,5870.041
100,902,0.383
100,903,0.208
101,901,7223.126
101,902,0.472
101,903,0.256
102,901,4697950.854
102,902,306.874
102,903,166.374
103,901,257496.386
103,902,16.82
103,903,9.119
104,901,13895.663
104,902,0.908
104,903,0.492
105,901,357160.051
105,902,23.33
105,903,12.649
106,901,13650.907
106,902,0.892
106,903,0.483
107,901,958441.758
107,902,62.606
107,903,33.942
108,901,465166.735
108,902,30.385
108,903,16.474
109,901,24528.621
109,902,1.602
109,903,0.869
110,901,8013.244
110,902,0.523
110,903,0.284
111,901,247906.751
111,902,16.193
111,903,8.779
112,901,74184.686
112,902,4.846
112,903,2.627
113,901,48219.948
113,902,3.15
113,903,1.708
114,901,60242.204
114,902,3.935
114,903,2.133
115,901,17249.13
115,902,1.127
115,903,0.611
116,901,31694.049
116,902,2.07
116,903,1.122
117,901,5881.948
117,902,0.384
117,903,0.208
118,901,30696.145
118,902,2.005
118,903,1.087
119,901,311546.487
119,902,20.35
119,903,11.033
120,901,138254.829
120,902,9.031
120,903,4.896
121,901,8078.76
121,902,0.528
121,903,0.286
122,901,10580.649
122,902,0.691
122,903,0.375
123,901,722412.213
123,902,47.189
123,903,25.584
124,901,29896.176
124,902,1.953
124,903,1.059
125,901,167855.201
125,902,10.964
125,903,5.944
126,901,130465.856
126,902,8.522
126,903,4.62
127,901,23687.771
127,902,1.547
127,903,0.839
128,901,87569.739
128,902,5.72
128,903,3.101
129,901,20144.977
129,902,1.316
129,903,0.713
130,901,387240.226
130,902,25.295
130,903,13.714
131,901,7440.849
131,902,0.486
131,903,0.264
132,901,23875.488
132,902,1.56
132,903,0.846
133,901,17373.256
133,902,1.135
133,903,0.615
134,901,106073.66
134,902,6.929
134,903,3.757
135,901,57324.193
135,902,3.744
135,903,2.03
136,901,36841.408
136,902,2.407
136,903,1.305
137,901,6225.017
137,902,0.407
137,903,0.22
138,901,1490512.898
138,902,97.362
138,903,52.785
139,901,46716.099
139,902,3.052
139,903,1.654
140,901,100486.108
140,902,6.564
140,903,3.559
141,901,718821.708
141,902,46.954
141,903,25.457
142,901,20219.691
142,902,1.321
142,903,0.716
143,901,25395.839
143,902,1.659
143,903,0.899
144,901,1123857.197
144,902,73.411
144,903,39.801
145,901,154086.382
145,902,10.065
145,903,5.457
146,901,26213.315
146,902,1.712
146,903,0.928
147,901,10484.931
147,902,0.685
147,903,0.371
148,901,22829.428
148,902,1.491
148,903,0.808
149,901,23361.617
149,902,1.526
149,903,0.827
150,901,33090.516
150,902,2.162
150,903,1.172
151,901,13990.16
151,902,0.914
151,903,0.495
152,901,30150.996
152,902,1.969
152,903,1.068
153,901,18864.929
153,902,1.232
153,903,0.668
154,901,6626.824
154,902,0.433
154,903,0.235
155,901,8268.519
155,902,0.54
155,903,0.293
156,901,826990.498
156,902,54.02
156,903,29.287
157,901,102762.773
157,902,6.713
157,903,3.639
158,901,12240.762
158,902,0.8
158,903,0.433
159,901,117960.884
159,902,7.705
159,903,4.177
160,901,24029.046
160,902,1.57
160,903,0.851
161,901,119702.976
161,902,7.819
161,903,4.239
162,901,8597.54
162,902,0.562
162,903,0.304
163,901,11025.35
163,902,0.72
163,903,0.39
164,901,237706.758
164,902,15.527
164,903,8.418
165,901,397336.912
165,902,25.954
165,903,14.071
166,901,316175.825
166,902,20.653
166,903,11.197
167,901,699381.211
167,902,45.684
167,903,24.768
168,901,1262366.521
168,902,82.459
168,903,44.706
169,901,76023.942
169,902,4.966
169,903,2.692
170,901,190288.793
170,902,12.43
170,903,6.739
171,901,327989.142
171,902,21.425
171,903,11.615
172,901,5852.638
172,902,0.382
172,903,0.207
173,901,15495.795
173,902,1.012
173,903,0.549
174,901,23058.382
174,902,1.506
174,903,0.817
175,901,44574.786
175,902,2.912
175,903,1.579
176,901,308354.18
176,902,20.142
