trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
63300,5498.98,0.539173,0.03163,48,0.302212
73936,10069.16,0.285459,0.057918,48,0.097106
75237,4476.33,0.639651,0.025748,48,0.421546
63677,4224.94,0.465621,0.024302,48,0.224596
76986,6787.58,0.273167,0.039042,48,0.116888
64476,6264.64,0.283523,0.036034,48,0.144999
74087,1432.04,0.996578,0.008237,14,0.993169
74461,6264.64,0.212927,0.036034,48,0.144999
9041,8457.26,0.111416,0.048647,48,0.026771
11395,1877.48,0.457102,0.010799,48,0.23543
62488,8292.51,0.095926,0.047699,48,0.030504
1481,6338.67,0.124536,0.03646,48,0.043816
63166,8292.51,0.094041,0.047699,48,0.030504
10688,6787.58,0.112491,0.039042,48,0.116888
71587,3179.27,0.228942,0.018287,48,0.070319
10736,6264.64,0.114267,0.036034,48,0.144999
55444,6787.58,0.10236,0.039042,48,0.116888
71955,1338.01,0.51389,0.007696,48,0.270449
62483,8253.41,0.081542,0.047474,48,0.017447
9882,5962.25,0.112146,0.034295,48,0.039213
62416,7653.51,0.086303,0.044023,48,0.01983
63343,2069.06,0.319068,0.011901,48,0.122974
62372,6338.67,0.097415,0.03646,48,0.043816
9264,5962.25,0.100787,0.034295,48,0.039213
9281,4671.9,0.126248,0.026873,48,0.032647
70747,6787.58,0.086834,0.039042,48,0.116888
9552,8457.26,0.068087,0.048647,48,0.026771
10333,10069.16,0.05622,0.057918,48,0.097106
14916,10069.16,0.056199,0.057918,48,0.097106
9033,6338.67,0.084977,0.03646,48,0.043816
62882,1929.37,0.273851,0.011098,44,0.199805
76983,2751.85,0.182277,0.015829,48,0.075126
72397,1379.17,0.351951,0.007933,48,0.199237
64103,1929.37,0.246267,0.011098,44,0.199805
73194,504.36,0.936097,0.002901,40,0.876379
66964,10069.16,0.046726,0.057918,48,0.097106
71624,6338.67,0.072484,0.03646,48,0.043816
76955,1856.67,0.246797,0.01068,46,0.101742
73924,5498.98,0.082497,0.03163,48,0.302212
62420,5962.25,0.075498,0.034295,48,0.039213
71725,4476.33,0.099206,0.025748,48,0.421546
25961,8292.51,0.049982,0.047699,48,0.030504
11390,1477.99,0.278195,0.008501,48,0.102753
9674,8457.26,0.047641,0.048647,48,0.026771
63953,10069.16,0.039862,0.057918,48,0.097106
