trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
6118,CA,CA,PRECI,PREC1,25.42,65103.0,1.0,1.0,65103.0,2561.093627
4163,CA,CA,IRONO,BASIC,0.64,61953.0,1.0,1.0,61953.0,96801.5625
1625,CA,CA,COPPE,PFERT,8.77,58418.0,1.0,1.0,58418.0,6661.117446
7433,CA,CA,SANDC,PUBLI,83.54,44175.0,1.0,1.0,44175.0,528.788604
673,CA,CA,BRICK,CONST,336.55,35540.0,1.0,1.0,35540.0,105.600951
7386,CA,CA,SANDC,BRICK,64.77,34252.0,1.0,1.0,34252.0,528.825073
1192,CA,CA,CHEMI,FOOD5,103.98,34032.0,1.0,1.0,34032.0,327.29371
7389,CA,CA,SANDC,CERAM,61.71,32634.0,1.0,1.0,32634.0,528.828391
1178,CA,CA,CHEMI,CHEM1,99.7,32630.0,1.0,1.0,32630.0,327.281846
417,CA,CA,BASIC,BASIC,6713.27,25316.0,1.0,1.0,25316.0,3.771039
1185,CA,CA,CHEMI,CRUDE,72.51,23731.0,1.0,1.0,23731.0,327.278996
1694,CA,CA,CRUDE,CRUDE,43823.41,21240.0,1.0,1.0,21240.0,0.484672
932,CA,CA,CERAM,CONST,265.44,20740.0,1.0,1.0,20740.0,78.134418
5391,CA,CA,NONME,CONST,10797.05,18968.0,1.0,1.0,18968.0,1.756776
7396,CA,CA,SANDC,CRUDE,30.26,16003.0,1.0,1.0,16003.0,528.849967
1197,CA,CA,CHEMI,GLASS,42.92,14048.0,1.0,1.0,14048.0,327.306617
7444,CA,CA,SANDC,SUPPO,25.41,13436.0,1.0,1.0,13436.0,528.768201
1174,CA,CA,CHEMI,BRICK,36.3,11880.0,1.0,1.0,11880.0,327.272727
7388,CA,CA,SANDC,CEMEN,22.33,11809.0,1.0,1.0,11809.0,528.840125
7406,CA,CA,SANDC,GLASS,21.33,11280.0,1.0,1.0,11280.0,528.83263
5834,CA,CA,PFERT,WHEAT,3278.17,10808.0,1.0,1.0,10808.0,3.296961
3768,CA,CA,GLASS,GLASS,1404.93,10517.0,1.0,1.0,10517.0,7.485782
7421,CA,CA,SANDC,MOTOR,18.16,9603.0,1.0,1.0,9603.0,528.799559
459,CA,CA,BASIC,MOTO1,2378.59,8970.0,1.0,1.0,8970.0,3.771142
7698,CA,CA,SUPPO,EDUCA,13285.46,8446.0,1.0,1.0,8446.0,0.635733
894,CA,CA,CEMEN,NONME,2406.08,8373.0,1.0,1.0,8373.0,3.479934
1176,CA,CA,CHEMI,CERAM,25.45,8330.0,1.0,1.0,8330.0,327.308448
3316,CA,CA,FOOD5,FOOD5,6418.12,8108.0,1.0,1.0,8108.0,1.263298
5814,CA,CA,PFERT,OILSE,2444.11,8058.0,1.0,1.0,8058.0,3.296906
1219,CA,CA,CHEMI,NFERT,24.59,8049.0,1.0,1.0,8049.0,327.328182
6932,CA,CA,RESEA,PUBLI,4964.26,8042.0,1.0,1.0,8042.0,1.61998
1246,CA,CA,CHEMI,TEXTI,23.71,7758.0,1.0,1.0,7758.0,327.203712
7404,CA,CA,SANDC,GASDI,14.15,7480.0,1.0,1.0,7480.0,528.621908
7425,CA,CA,SANDC,NONF1,12.75,6742.0,1.0,1.0,6742.0,528.784314
3755,CA,CA,GLASS,CONST,886.22,6634.0,1.0,1.0,6634.0,7.485726
1230,CA,CA,CHEMI,PUBLI,19.98,6539.0,1.0,1.0,6539.0,327.277277
7431,CA,CA,SANDC,PFERT,12.23,6467.0,1.0,1.0,6467.0,528.781684
6113,CA,CA,PRECI,ELEC5,2.44,6244.0,1.0,1.0,6244.0,2559.016393
5832,CA,CA,PFERT,VEGET,1831.28,6037.0,1.0,1.0,6037.0,3.296601
3623,CA,CA,GASDI,CONST,5223.67,5921.0,1.0,1.0,5921.0,1.133494
148,CA,CA,ALUM1,ALUM1,2893.72,5647.0,1.0,1.0,5647.0,1.951467
5272,CA,CA,NICKE,CHEM1,0.68,5197.0,1.0,1.0,5197.0,7642.647059
6086,CA,CA,PREC1,FURNI,78.57,4794.0,1.0,1.0,4794.0,61.015655
3465,CA,CA,FOUND,MOTO1,2180.0,4758.0,1.0,1.0,4758.0,2.182569
1060,CA,CA,CHEM1,CONST,1921.25,4660.0,1.0,1.0,4660.0,2.425504
1055,CA,CA,CHEM1,CHEM1,1902.62,4615.0,1.0,1.0,4615.0,2.425603
1715,CA,CA,CRUDE,MOTOR,9003.86,4364.0,1.0,1.0,4364.0,0.484681
5017,CA,CA,MOTO1,MOTO1,7597.25,4327.0,1.0,1.0,4327.0,0.569548
