trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,natural_resource/land,natural_resource/water,resources_intensity
1167,CN,CN,CATTL,MEATC,39237.92,2454956.925,2.0,2.0,2454364.0,592.925,62.565929
7317,CN,CN,PAPER,PAPER,166326.72,2157534.53,2.0,2.0,2147405.0,10129.53,12.971665
4184,CN,CN,FOOD5,FOOD5,352400.64,1293133.98,2.0,2.0,1284344.0,8789.98,3.6695
10203,CN,CN,WOODW,PAPER,64845.67,1093916.823,2.0,2.0,1093035.0,881.823,16.869543
1239,CN,CN,CERAM,CONST,359100.08,773833.371,2.0,2.0,755371.0,18462.371,2.154924
6087,CN,CN,MEATC,HOTEL,11414.59,741852.018,2.0,2.0,741659.0,193.018,64.991561
7643,CN,CN,PLAST,RUBBE,254658.9,736574.465,2.0,2.0,718105.0,18469.465,2.892396
9453,CN,CN,TEXTI,TEXTI,432582.24,725671.205,2.0,2.0,716859.0,8812.205,1.677534
4254,CN,CN,FORES,FURNI,2336.46,640126.455,2.0,2.0,640107.0,19.455,273.972786
5129,CN,CN,HOTEL,PUBLI,174501.59,520819.525,2.0,2.0,518639.0,2180.525,2.984612
7552,CN,CN,PIGS9,MEATP,136213.44,516260.986,2.0,2.0,512233.0,4027.986,3.790088
7326,CN,CN,PAPER,PRINT,39381.34,510841.379,2.0,2.0,508443.0,2398.379,12.971661
7096,CN,CN,OFFIC,OFFIC,847302.1,455511.669,2.0,2.0,441257.0,14254.669,0.537602
4206,CN,CN,FOOD5,PIGS9,122879.7,450907.006,2.0,2.0,447842.0,3065.006,3.6695
6067,CN,CN,MEATA,MEAT4,17783.75,441781.171,2.0,2.0,441585.0,196.171,24.841846
7271,CN,CN,PAPER,CERAM,31180.61,404463.942,2.0,2.0,402565.0,1898.942,12.971649
4450,CN,CN,FURNI,FURNI,109798.26,399751.615,2.0,2.0,396938.0,2813.615,3.640783
9458,CN,CN,TEXTI,WEARI,229060.26,384256.225,2.0,2.0,379590.0,4666.225,1.677533
6060,CN,CN,MEAT4,WEARI,35484.66,364882.362,2.0,2.0,363997.0,885.362,10.28282
10155,CN,CN,WOODW,CONST,21089.98,355778.798,2.0,2.0,355492.0,286.798,16.869565
7288,CN,CN,PAPER,FOOD5,26748.22,346969.004,2.0,2.0,345340.0,1629.004,12.971667
1305,CN,CN,CHEM1,CHEM1,185235.24,346885.332,2.0,2.0,337855.0,9030.332,1.872675
8281,CN,CN,RAWMI,DAIRY,15783.07,346468.981,2.0,2.0,346151.0,317.981,21.951938
10170,CN,CN,WOODW,FURNI,20269.82,341942.645,2.0,2.0,341667.0,275.645,16.869545
1276,CN,CN,CEREA,FOOD5,103103.75,339336.284,2.0,2.0,337628.0,1708.284,3.291212
9867,CN,CN,VEGET,FOOD5,265774.51,327931.004,2.0,2.0,325034.0,2897.004,1.233869
7782,CN,CN,POULT,MEAT1,105218.49,327191.864,2.0,2.0,324577.0,2614.864,3.109642
8932,CN,CN,RUBBE,RUBBE,144771.35,322337.412,2.0,2.0,314484.0,7853.412,2.226528
10163,CN,CN,WOODW,FABRI,17869.82,301456.008,2.0,2.0,301213.0,243.008,16.86956
6048,CN,CN,MEAT4,MEAT4,28195.11,289925.484,2.0,2.0,289222.0,703.484,10.282829
6350,CN,CN,MOTO1,MOTO1,398550.05,285685.392,2.0,2.0,276388.0,9297.392,0.716812
9446,CN,CN,TEXTI,RESEA,168774.68,283125.137,2.0,2.0,279687.0,3438.137,1.677533
4277,CN,CN,FORES,PLAST,983.18,269364.187,2.0,2.0,269356.0,8.187,273.972403
3746,CN,CN,FABRI,FABRI,200293.61,264839.748,2.0,2.0,251882.0,12957.748,1.322258
4282,CN,CN,FORES,RAILW,888.46,243414.398,2.0,2.0,243407.0,7.398,273.97339
7343,CN,CN,PAPER,TEXTI,18743.83,243138.526,2.0,2.0,241997.0,1141.526,12.971657
8699,CN,CN,RESEA,MOTO1,113434.4,241692.684,2.0,2.0,239302.0,2390.684,2.130682
7293,CN,CN,PAPER,HEALT,17369.75,225314.842,2.0,2.0,224257.0,1057.842,12.97168
499,CN,CN,BASIC,CONST,350320.49,220566.46,2.0,2.0,205340.0,15226.46,0.629613
925,CN,CN,BITUM,ELEC1,187458.46,215033.134,2.0,2.0,212311.0,2722.134,1.147098
4208,CN,CN,FOOD5,POULT,57778.3,212017.172,2.0,2.0,210576.0,1441.172,3.669495
7942,CN,CN,PRINT,PRINT,38947.06,205180.522,2.0,2.0,203466.0,1714.522,5.26819
480,CN,CN,BASIC,BASIC,321320.65,202308.0,2.0,2.0,188342.0,13966.0,0.629614
4754,CN,CN,GLASS,GLASS,181474.34,196006.606,2.0,2.0,189452.0,6554.606,1.080079
5770,CN,CN,LEATH,LEATH,83063.16,191681.413,2.0,2.0,189430.0,2251.413,2.307659
7185,CN,CN,OILSE,PLAST,63033.8,183742.852,2.0,2.0,182935.0,807.852,2.914989
4294,CN,CN,FORES,VEGET,616.96,169030.137,2.0,2.0,169025.0,5.137,273.972603
7230,CN,CN,PADDY,PROCE,54078.57,168515.39,2.0,2.0,167370.0,1145.39,3.116121
4742,CN,CN,GLASS,CONST,150653.42,162717.397,2.0,2.0,157276.0,5441.397,1.080078
8256,CN,CN,RAILW,PUBLI,61508.98,157755.031,2.0,2.0,157334.0,421.031,2.564748
4419,CN,CN,FURNI,CERAM,42742.19,155615.282,2.0,2.0,154520.0,1095.282,3.640789
7286,CN,CN,PAPER,FISH5,11972.08,155298.116,2.0,2.0,154569.0,729.116,12.97169
1190,CN,CN,CEMEN,CONST,184536.52,153215.056,2.0,2.0,144071.0,9144.056,0.83027
4258,CN,CN,FORES,HOTEL,557.29,152682.64,2.0,2.0,152678.0,4.64,273.973407
6111,CN,CN,MEATP,HOTEL,39772.55,142345.951,2.0,2.0,141128.0,1217.951,3.579
3594,CN,CN,ELECT,CONST,147693.62,139957.942,2.0,2.0,134449.0,5508.942,0.947623
7276,CN,CN,PAPER,CONST,10584.28,137295.598,2.0,2.0,136651.0,644.598,12.971652
3614,CN,CN,ELECT,ELECT,144052.35,136507.124,2.0,2.0,131134.0,5373.124,0.947622
8847,CN,CN,RUBBE,CHEM1,60821.09,135419.362,2.0,2.0,132120.0,3299.362,2.22652
7299,CN,CN,PAPER,LEATH,10415.53,135106.32,2.0,2.0,134472.0,634.32,12.971622
6849,CN,CN,NONME,CONST,143781.41,133460.585,2.0,2.0,124471.0,8989.585,0.928219
5035,CN,CN,HOTEL,BUSIN,44516.97,132866.272,2.0,2.0,132310.0,556.272,2.984621
7273,CN,CN,PAPER,CHEM1,9162.26,118849.995,2.0,2.0,118292.0,557.995,12.97169
10047,CN,CN,WEARI,WEARI,50653.19,117208.428,2.0,2.0,116131.0,1077.428,2.31394
9787,CN,CN,TRANS,TRANS,121073.92,116559.438,2.0,2.0,112603.0,3956.438,0.962713
10077,CN,CN,WHEAT,WHEAT,8426.08,114561.417,2.0,2.0,114230.0,331.417,13.596051
8165,CN,CN,PULP5,PAPER,8053.02,114340.402,2.0,2.0,113949.0,391.402,14.19845
3725,CN,CN,FABRI,CONST,86121.57,113874.529,2.0,2.0,108303.0,5571.529,1.322253
6018,CN,CN,MEAT1,HOTEL,35247.45,112301.035,2.0,2.0,111376.0,925.035,3.186075
4214,CN,CN,FOOD5,RESEA,30589.74,112249.004,2.0,2.0,111486.0,763.004,3.669498
506,CN,CN,BASIC,ELECT,172516.63,108619.327,2.0,2.0,101121.0,7498.327,0.629617
1236,CN,CN,CERAM,CERAM,50293.79,108379.749,2.0,2.0,105794.0,2585.749,2.154933
2145,CN,CN,DAIRY,FOOD5,5641.64,107646.166,2.0,2.0,107500.0,146.166,19.080651
4242,CN,CN,FORES,CONST,391.49,107257.26,2.0,2.0,107254.0,3.26,273.971902
7268,CN,CN,PAPER,BUSIN,8124.97,105394.822,2.0,2.0,104900.0,494.822,12.971718
2304,CN,CN,DISTR,DISTR,78538.17,104472.019,2.0,2.0,61424.0,43048.019,1.330207
8861,CN,CN,RUBBE,ELECT,44031.06,98036.553,2.0,2.0,95648.0,2388.553,2.226532
8862,CN,CN,RUBBE,FABRI,43429.92,96697.943,2.0,2.0,94342.0,2355.943,2.226528
7292,CN,CN,PAPER,GLASS,7401.4,96008.756,2.0,2.0,95558.0,450.756,12.971702
4295,CN,CN,FORES,WEARI,345.03,94527.873,2.0,2.0,94525.0,2.873,273.970011
4281,CN,CN,FORES,PULP5,342.51,93837.852,2.0,2.0,93835.0,2.852,273.971131
5618,CN,CN,LANDT,CONST,511935.28,93614.426,2.0,2.0,86679.0,6935.426,0.182864
10244,CN,CN,WOODW,WOODW,5376.33,90696.112,2.0,2.0,90623.0,73.112,16.869521
8869,CN,CN,RUBBE,FURNI,39959.62,88971.69,2.0,2.0,86804.0,2167.69,2.22654
909,CN,CN,BITUM,CEMEN,77213.03,88571.231,2.0,2.0,87450.0,1121.231,1.147102
6109,CN,CN,MEATP,FOOD5,24571.03,87939.436,2.0,2.0,87187.0,752.436,3.578989
6784,CN,CN,NONF1,NONF1,30614.06,87689.496,2.0,2.0,86010.0,1679.496,2.864354
7531,CN,CN,PFERT,VEGET,116412.35,87266.581,2.0,2.0,84659.0,2607.581,0.749633
4449,CN,CN,FURNI,FOUND,23406.59,85217.801,2.0,2.0,84618.0,599.801,3.640761
528,CN,CN,BASIC,MOTO1,133828.16,84259.757,2.0,2.0,78443.0,5816.757,0.629612
4250,CN,CN,FORES,FISH5,305.29,83642.542,2.0,2.0,83640.0,2.542,273.97734
8708,CN,CN,RESEA,OFFIC,37977.81,80918.401,2.0,2.0,80118.0,800.401,2.130676
7275,CN,CN,PAPER,COMPU,6043.79,78398.075,2.0,2.0,78030.0,368.075,12.971674
1592,CN,CN,COKEO,BASIC,83036.73,77794.067,2.0,2.0,76587.0,1207.067,0.936863
10026,CN,CN,WEARI,PUBLI,33615.01,77783.015,2.0,2.0,77068.0,715.015,2.313937
3745,CN,CN,FABRI,ELECT,58302.87,77091.832,2.0,2.0,73320.0,3771.832,1.322265
4182,CN,CN,FOOD5,FISH5,20808.02,76355.018,2.0,2.0,75836.0,519.018,3.669499
2627,CN,CN,ELEC1,DISTR,43762.0,75998.195,2.0,2.0,42844.0,33154.195,1.736625
4445,CN,CN,FURNI,ELECT,20297.87,73900.139,2.0,2.0,73380.0,520.139,3.640783
5134,CN,CN,HOTEL,REALE,24288.21,72490.499,2.0,2.0,72187.0,303.499,2.984596
3642,CN,CN,ELECT,MOTO1,76365.87,72365.432,2.0,2.0,69517.0,2848.432,0.947615
5066,CN,CN,HOTEL,FABRI,23602.04,70442.925,2.0,2.0,70148.0,294.925,2.984612
1691,CN,CN,COKIN,COKEO,61077.75,70061.926,2.0,2.0,69175.0,886.926,1.147094
4279,CN,CN,FORES,PRINT,250.37,68595.085,2.0,2.0,68593.0,2.085,273.974857
10074,CN,CN,WHEAT,TEXTI,5033.3,68432.971,2.0,2.0,68235.0,197.971,13.596045
4262,CN,CN,FORES,LEATH,249.2,68275.075,2.0,2.0,68273.0,2.075,273.977026
7898,CN,CN,PRINT,HEALT,12536.87,66046.896,2.0,2.0,65495.0,551.896,5.268213
7349,CN,CN,PAPER,WEARI,5035.24,65315.653,2.0,2.0,65009.0,306.653,12.971706
4252,CN,CN,FORES,FORES,238.4,65313.985,2.0,2.0,65312.0,1.985,273.968058
8724,CN,CN,RESEA,RADIO,30456.16,64892.878,2.0,2.0,64251.0,641.878,2.130698
7744,CN,CN,POSTT,PUBLI,174925.84,64018.728,2.0,2.0,62548.0,1470.728,0.365976
10148,CN,CN,WOODW,CERAM,3794.86,64017.606,2.0,2.0,63966.0,51.606,16.869557
946,CN,CN,BITUM,NONME,53334.18,61179.48,2.0,2.0,60405.0,774.48,1.147097
1917,CN,CN,CONST,CONST,78276.85,61008.9,2.0,2.0,59050.0,1958.9,0.779399
9004,CN,CN,SEACO,CONST,127390.49,59621.91,2.0,2.0,58554.0,1067.91,0.468025
7622,CN,CN,PLAST,ELECT,20578.81,59522.505,2.0,2.0,58030.0,1492.505,2.892417
4219,CN,CN,FOOD5,TEXTI,16214.3,59498.436,2.0,2.0,59094.0,404.436,3.669504
10042,CN,CN,WEARI,TEXTI,25448.13,58885.299,2.0,2.0,58344.0,541.299,2.313934
4497,CN,CN,FURNI,PRINT,16152.76,58808.92,2.0,2.0,58395.0,413.92,3.640797
7314,CN,CN,PAPER,OFFIC,4497.03,58333.876,2.0,2.0,58060.0,273.876,12.971645
7337,CN,CN,PAPER,RUBBE,4465.21,57920.937,2.0,2.0,57649.0,271.937,12.971604
7263,CN,CN,PAPER,BEVER,4441.74,57616.508,2.0,2.0,57346.0,270.508,12.971608
8216,CN,CN,RADIO,RADIO,59295.11,57258.067,2.0,2.0,55483.0,1775.067,0.965646
4080,CN,CN,FISHF,FISH5,301702.23,57118.305,2.0,2.0,56217.0,901.305,0.18932
9345,CN,CN,SUPPO,WHOLE,57598.77,57103.03,2.0,2.0,56752.0,351.03,0.991393
5067,CN,CN,HOTEL,FINAN,19100.24,57006.671,2.0,2.0,56768.0,238.671,2.984605
904,CN,CN,BITUM,BITUM,48653.55,55810.511,2.0,2.0,55104.0,706.511,1.1471
6016,CN,CN,MEAT1,FOOD5,17351.01,55281.36,2.0,2.0,54826.0,455.36,3.18606
10061,CN,CN,WHEAT,FOOD5,4065.49,55274.905,2.0,2.0,55115.0,159.905,13.596124
9914,CN,CN,VEGET,TEXTI,44289.12,54646.762,2.0,2.0,54164.0,482.762,1.233864
7862,CN,CN,PRINT,CHEM1,10333.95,54440.92,2.0,2.0,53986.0,454.92,5.268162
7322,CN,CN,PAPER,PLAST,4196.31,54433.561,2.0,2.0,54178.0,255.561,12.971768
4290,CN,CN,FORES,SUPPO,197.73,54171.646,2.0,2.0,54170.0,1.646,273.967764
8864,CN,CN,RUBBE,FISH5,23028.67,51274.236,2.0,2.0,50025.0,1249.236,2.226539
7258,CN,CN,PAPER,93197,3950.92,51249.616,2.0,2.0,51009.0,240.616,12.971565
7888,CN,CN,PRINT,FABRI,9693.67,51067.733,2.0,2.0,50641.0,426.733,5.268153
4008,CN,CN,FISH5,FOOD5,47382.07,50905.384,2.0,2.0,50072.0,833.384,1.07436
2111,CN,CN,CRUDE,MOTOR,82371.12,50863.923,2.0,2.0,47230.0,3633.923,0.617497
7319,CN,CN,PAPER,PFERT,3909.19,50709.075,2.0,2.0,50471.0,238.075,12.97176
4216,CN,CN,FOOD5,RUBBE,13732.54,50391.533,2.0,2.0,50049.0,342.533,3.669498
5070,CN,CN,HOTEL,FOOD5,16769.77,50051.55,2.0,2.0,49842.0,209.55,2.984629
8884,CN,CN,RUBBE,LEATH,22333.73,49726.538,2.0,2.0,48515.0,1211.538,2.226522
8008,CN,CN,PROCE,FISH5,14574.08,49069.257,2.0,2.0,48716.0,353.257,3.366885
7281,CN,CN,PAPER,EDUCA,3753.01,48682.563,2.0,2.0,48454.0,228.563,12.971605
4322,CN,CN,FOUND,CONST,29697.35,47802.367,2.0,2.0,46694.0,1108.367,1.609651
5138,CN,CN,HOTEL,RESEA,15693.94,46840.107,2.0,2.0,46644.0,196.107,2.984598
7930,CN,CN,PRINT,PAPER,8843.24,46588.296,2.0,2.0,46199.0,389.296,5.268238
3716,CN,CN,FABRI,CERAM,34881.74,46122.631,2.0,2.0,43866.0,2256.631,1.322257
2630,CN,CN,ELEC1,FABRI,26481.57,45988.495,2.0,2.0,25926.0,20062.495,1.736623
9875,CN,CN,VEGET,HOTEL,37050.0,45714.854,2.0,2.0,45311.0,403.854,1.233869
7948,CN,CN,PRINT,RECRE,8613.76,45379.193,2.0,2.0,45000.0,379.193,5.268221
7634,CN,CN,PLAST,PAPER,15611.3,45154.23,2.0,2.0,44022.0,1132.23,2.892407
5077,CN,CN,HOTEL,HEALT,15080.33,45009.44,2.0,2.0,44821.0,188.44,2.984646
5081,CN,CN,HOTEL,INSUR,14719.01,43930.925,2.0,2.0,43747.0,183.925,2.984639
5673,CN,CN,LEAD1,LEAD1,32854.87,43857.025,2.0,2.0,42701.0,1156.025,1.334871
2149,CN,CN,DAIRY,HOTEL,2298.35,43853.546,2.0,2.0,43794.0,59.546,19.080447
8866,CN,CN,RUBBE,FOOD5,19324.15,43025.277,2.0,2.0,41977.0,1048.277,2.226503
7222,CN,CN,PADDY,PADDY,13491.78,42041.757,2.0,2.0,41756.0,285.757,3.116102
587,CN,CN,BEVER,CONST,18011.73,41447.071,2.0,2.0,40924.0,523.071,2.301115
900,CN,CN,BITUM,BASIC,36118.94,41431.493,2.0,2.0,40907.0,524.493,1.147085
2130,CN,CN,DAIRY,93197,2170.26,41410.228,2.0,2.0,41354.0,56.228,19.080768
