trade_id,region1,region2,industry1,industry2,amount
132773,WA,IT,CRUDE,MOTOR,15758.82
132751,WA,IT,CRUDE,GASDI,15609.82
132774,WA,IT,CRUDE,NAPHT,2927.14
73813,IE,IT,AIRTR,PUBLI,2829.42
35909,DE,IT,MACHI,MACHI,1886.94
132760,WA,IT,CRUDE,KEROS,1782.35
142280,WF,IT,CRUDE,MOTOR,1718.46
142264,WF,IT,CRUDE,GASDI,1702.21
132738,WA,IT,CRUDE,ELECT,1696.11
37125,DE,IT,PLAST,RUBBE,1369.20
32199,DE,IT,BASIC,FABRI,1365.45
150033,WM,IT,CRUDE,MOTOR,1281.51
132753,WA,IT,CRUDE,HEAVY,1275.68
150019,WM,IT,CRUDE,GASDI,1269.39
87104,LU,IT,FINAN,REALE,1107.47
19478,CH,IT,CHEM1,HEALT,986.52
128517,US,IT,CRUDE,MOTOR,901.72
128503,US,IT,CRUDE,GASDI,893.20
51467,FR,IT,BASIC,FABRI,862.30
110471,RU,IT,CRUDE,MOTOR,827.44
110458,RU,IT,CRUDE,GASDI,819.62
87038,LU,IT,FINAN,FINAN,807.64
95558,NL,IT,PLAST,RUBBE,787.14
131984,WA,IT,BASIC,FABRI,786.70
36202,DE,IT,MOTO1,MOTO1,732.79
32167,DE,IT,BASIC,BASIC,709.37
77002,IN,IT,BASIC,FABRI,676.26
4347,AT,IT,WOODW,CONST,650.37
33326,DE,IT,DAIRY,DAIRY,649.43
38124,DE,IT,RUBBE,RUBBE,642.98
55962,FR,IT,PLAST,RUBBE,642.18
9882,BE,IT,PLAST,RUBBE,606.77
33195,DE,IT,COPP1,FABRI,579.84
24360,CN,IT,ELECT,CONST,569.97
74287,IE,IT,COMPU,COMPU,559.71
136401,WA,IT,VEGE1,FOOD5,545.18
35865,DE,IT,MACHI,CONST,541.24
31954,DE,IT,AIRTR,PUBLI,535.43
51835,FR,IT,CATTL,MEATC,525.20
54823,FR,IT,MACHI,MACHI,510.00
132765,WA,IT,CRUDE,LIQUE,492.25
149208,WM,IT,BASIC,FABRI,488.20
134521,WA,IT,NATUR,ELEC2,468.43
27092,CN,IT,TEXTI,TEXTI,461.34
51436,FR,IT,BASIC,BASIC,447.97
23926,CN,IT,CHEM1,HEALT,445.04
34334,DE,IT,FABRI,MACHI,438.13
44959,ES,IT,FISH5,HOTEL,429.28
59069,GB,IT,CRUDE,MOTOR,428.27
59058,GB,IT,CRUDE,GASDI,424.22
19524,CH,IT,CHEM1,PLAST,412.62
58146,GB,IT,AIRTR,PUBLI,411.03
131953,WA,IT,BASIC,BASIC,408.70
94542,NL,IT,MACHI,MACHI,400.02
43671,ES,IT,BASIC,FABRI,398.17
74176,IE,IT,CHEM1,HEALT,396.29
33180,DE,IT,COPP1,COPP1,389.37
19566,CH,IT,CHEM1,WHOLE,384.25
38802,DE,IT,TRANS,TRANS,381.39
73777,IE,IT,AIRTR,LANDT,380.11
35916,DE,IT,MACHI,MOTO1,374.42
87099,LU,IT,FINAN,PUBLI,373.16
34306,DE,IT,FABRI,FABRI,366.67
122022,TR,IT,BASIC,FABRI,356.82
58631,GB,IT,BUSIN,REALE,351.97
76971,IN,IT,BASIC,BASIC,351.32
152402,WM,IT,PFERT,VEGET,344.55
137118,WE,IT,BASIC,FABRI,342.77
127462,US,IT,AIRTR,PUBLI,342.04
34289,DE,IT,FABRI,CONST,341.01
48212,ES,IT,VEGE1,FOOD5,340.03
59422,GB,IT,FINAN,REALE,339.11
131752,WA,IT,AIRTR,PUBLI,327.42
92761,NL,IT,BUSIN,REALE,325.40
109920,RU,IT,BASIC,FABRI,322.12
46975,ES,IT,PLAST,RUBBE,321.39
87057,LU,IT,FINAN,INSUR,320.01
142281,WF,IT,CRUDE,NAPHT,319.20
111533,RU,IT,NATUR,ELEC2,317.92
132826,WA,IT,CRUDE,WHOLE,313.54
36197,DE,IT,MOTO1,MACHI,313.30
25435,CN,IT,LEATH,LEATH,313.10
132800,WA,IT,CRUDE,REFI1,312.80
83036,KR,IT,BASIC,FABRI,301.62
38034,DE,IT,RUBBE,CONST,301.09
32226,DE,IT,BASIC,MACHI,300.26
23435,CN,IT,BASIC,FABRI,292.69
21000,CH,IT,LANDT,LANDT,288.96
34733,DE,IT,FOOD5,HOTEL,287.43
32020,DE,IT,ALUM1,FABRI,283.37
