trade_id,region1,region2,industry1,industry2,amount
28194,CN,WM,BASIC,CONST,6221.73
32787,CN,WM,RUBBE,CONST,4179.98
29502,CN,WM,FABRI,CONST,3666.28
29376,CN,WM,ELECT,CONST,3339.79
148196,TR,WM,BASIC,CONST,3066.56
33287,CN,WM,TEXTI,WEARI,2704.29
28810,CN,WM,CHEM1,HEALT,2638.45
28633,CN,WM,CERAM,CONST,2311.40
86478,IN,WM,BASIC,CONST,2280.62
162351,WA,WM,BASIC,CONST,2107.29
101112,JP,WM,MOTO1,MOTO1,1840.99
33280,CN,WM,TEXTI,TEXTI,1816.62
31017,CN,WM,MOTO1,MOTO1,1299.11
28197,CN,WM,BASIC,CRUDE,1292.39
156500,US,WM,CHEM1,HEALT,1277.84
135997,RU,WM,COPP1,COPP1,1268.25
158918,US,WM,MOTO1,MOTO1,1256.23
163559,WA,WM,CRUDE,GASDI,1212.74
139808,RU,WM,WHEAT,FOOD5,1181.96
28209,CN,WM,BASIC,FABRI,1165.63
33884,CN,WM,WOODW,CONST,1105.43
165955,WA,WM,MOTO1,MOTO1,1077.63
28019,CN,WM,ALUM1,ALUM1,1062.20
28855,CN,WM,CHEM1,PUBLI,1055.17
152255,TR,WM,PREC1,PREC1,1033.10
87205,IN,WM,CHEM1,HEALT,1029.51
29864,CN,WM,FURNI,CONST,998.59
152722,TR,WM,RUBBE,CONST,980.82
161459,US,WM,TRANS,PUBLI,977.56
64918,GB,WM,BASIC,CONST,976.48
169417,WA,WM,WOODW,CONST,974.64
24601,CH,WM,CHEM1,HEALT,956.18
135262,RU,WM,BASIC,CONST,941.58
40103,DE,WM,CHEM1,HEALT,936.56
32497,CN,WM,RADIO,PUBLI,926.07
157437,US,WM,FINAN,REALE,911.29
29505,CN,WM,FABRI,CRUDE,904.75
30069,CN,WM,GLASS,GLASS,904.72
42279,DE,WM,MOTO1,MOTO1,887.56
139884,RU,WM,WHEAT,WHEAT,886.95
66354,GB,WM,FINAN,REALE,882.69
86981,IN,WM,CERAM,CONST,869.36
89689,IN,WM,MOTOR,LANDT,866.35
103244,KR,WM,BASIC,CONST,832.15
168085,WA,WM,RUBBE,CONST,814.60
88486,IN,WM,GASDI,FURNI,806.47
169777,WE,WM,BASIC,CONST,801.29
174848,WF,WM,COPP1,COPP1,780.04
149701,TR,WM,FABRI,CONST,761.24
163568,WA,WM,CRUDE,MOTOR,756.08
99328,JP,WM,BASIC,CONST,737.93
105130,KR,WM,MOTO1,MOTO1,709.71
32483,CN,WM,RADIO,OFFIC,703.33
168875,WA,WM,VEGE1,FOOD5,694.15
163566,WA,WM,CRUDE,LIQUE,683.93
64101,FR,WM,TRANS,PUBLI,678.19
3662,AU,WM,ALUM1,ALUM1,669.97
44967,DE,WM,TRANS,PUBLI,669.12
88350,IN,WM,FURNI,CONST,657.87
31463,CN,WM,OFFIC,OFFIC,652.58
29447,CN,WM,ELECT,PUBLI,652.36
16825,BR,WM,CEREA,FOOD5,646.44
88475,IN,WM,GASDI,ELEC6,644.80
148199,TR,WM,BASIC,CRUDE,636.99
