trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
15567,84497.04,0.151536,0.251357,35,0.055018
15558,84497.04,0.13369,0.251357,35,0.055018
15561,84497.04,0.056187,0.251357,35,0.055018
15563,84497.04,0.051265,0.251357,35,0.055018
54792,12554.87,0.331821,0.037348,16,0.115818
67595,84497.04,0.036235,0.251357,35,0.055018
15568,84497.04,0.035995,0.251357,35,0.055018
59769,5343.4,0.509404,0.015895,38,0.26853
94074,22235.86,0.112474,0.066146,44,0.038118
23480,84497.04,0.027948,0.251357,35,0.055018
15559,84497.04,0.027323,0.251357,35,0.055018
94095,22235.86,0.093281,0.066146,44,0.038118
85721,22235.86,0.092004,0.066146,44,0.038118
59539,84497.04,0.023241,0.251357,35,0.055018
23491,84497.04,0.022665,0.251357,35,0.055018
15480,7203.27,0.253067,0.021428,30,0.09962
73315,84497.04,0.018153,0.251357,35,0.055018
103491,84497.04,0.018079,0.251357,35,0.055018
19421,9897.74,0.137287,0.029443,43,0.039485
67588,84497.04,0.016059,0.251357,35,0.055018
19087,2759.01,0.455004,0.008207,43,0.218003
120357,8961.37,0.132839,0.026658,16,0.039461
73331,84497.04,0.0139,0.251357,35,0.055018
15569,84497.04,0.013723,0.251357,35,0.055018
59542,84497.04,0.012995,0.251357,35,0.055018
18129,3488.1,0.314031,0.010376,38,0.107874
53426,84497.04,0.012797,0.251357,35,0.055018
103505,84497.04,0.012004,0.251357,35,0.055018
117543,16163.5,0.060583,0.048082,42,0.013194
53434,84497.04,0.01155,0.251357,35,0.055018
19372,9897.74,0.095668,0.029443,43,0.039485
17720,4710.18,0.192995,0.014012,37,0.057681
16822,16163.5,0.054679,0.048082,42,0.013194
56961,84497.04,0.010172,0.251357,35,0.055018
89077,8961.37,0.09111,0.026658,16,0.039461
94112,22235.86,0.036705,0.066146,44,0.038118
95642,84497.04,0.00964,0.251357,35,0.055018
18382,1664.37,0.478373,0.004951,33,0.249304
96836,24340.51,0.032011,0.072407,42,0.004677
115825,22235.86,0.034755,0.066146,44,0.038118
17889,2295.61,0.336468,0.006829,37,0.144119
68858,9242.3,0.082073,0.027493,42,0.03154
95631,84497.04,0.008859,0.251357,35,0.055018
98567,9242.3,0.080642,0.027493,42,0.03154
59928,24340.51,0.030571,0.072407,42,0.004677
59547,84497.04,0.008741,0.251357,35,0.055018
116620,7203.27,0.101369,0.021428,30,0.09962
57925,1883.34,0.38685,0.005602,23,0.264229
116619,7203.27,0.100918,0.021428,30,0.09962
120524,9897.74,0.069749,0.029443,43,0.039485
15551,84497.04,0.008155,0.251357,35,0.055018
102654,22235.86,0.030712,0.066146,44,0.038118
59546,84497.04,0.007876,0.251357,35,0.055018
97150,16163.5,0.040943,0.048082,42,0.013194
59536,84497.04,0.007747,0.251357,35,0.055018
32825,84497.04,0.007525,0.251357,35,0.055018
91256,84497.04,0.007195,0.251357,35,0.055018
23481,84497.04,0.007095,0.251357,35,0.055018
97419,3636.75,0.163913,0.010818,41,0.071278
59119,8955.18,0.065571,0.026639,33,0.025587
14978,8955.18,0.063549,0.026639,33,0.025587
57927,1883.34,0.299611,0.005602,23,0.264229
17578,9242.3,0.060568,0.027493,42,0.03154
65190,22235.86,0.024864,0.066146,44,0.038118
94146,22235.86,0.02478,0.066146,44,0.038118
67510,7203.27,0.07506,0.021428,30,0.09962
120334,8961.37,0.060021,0.026658,16,0.039461
95635,84497.04,0.006363,0.251357,35,0.055018
116213,2591.72,0.207441,0.00771,34,0.061847
23484,84497.04,0.006293,0.251357,35,0.055018
67591,84497.04,0.006039,0.251357,35,0.055018
14831,22235.86,0.02268,0.066146,44,0.038118
103483,84497.04,0.005921,0.251357,35,0.055018
92399,9242.3,0.054127,0.027493,42,0.03154
32831,84497.04,0.005865,0.251357,35,0.055018
92044,3636.75,0.133413,0.010818,41,0.071278
56524,8955.18,0.054173,0.026639,33,0.025587
120445,8961.37,0.053491,0.026658,16,0.039461
94419,8955.18,0.052664,0.026639,33,0.025587
14737,1699.72,0.276034,0.005056,39,0.103717
37416,9242.3,0.050763,0.027493,42,0.03154
51421,5808.38,0.080652,0.017278,44,0.022508
56954,84497.04,0.005492,0.251357,35,0.055018
86557,84497.04,0.005333,0.251357,35,0.055018
13634,4710.18,0.094771,0.014012,37,0.057681
36789,16163.5,0.027213,0.048082,42,0.013194
15553,84497.04,0.005188,0.251357,35,0.055018
96174,2614.1,0.165816,0.007776,42,0.041564
90871,9249.33,0.046756,0.027514,45,0.006681
15486,7203.27,0.059054,0.021428,30,0.09962
59109,8955.18,0.047147,0.026639,33,0.025587
92426,9242.3,0.045575,0.027493,42,0.03154
