trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
42017,FR,DE,SANDC,SANDC,37.43,1776.0,1.0,1.0,1776.0,47.448571
26722,FR,CH,SANDC,CONST,33.57,1593.0,1.0,1.0,1593.0,47.453083
39773,FR,DE,MOTO1,MOTO1,5552.48,944.0,1.0,1.0,944.0,0.170014
31179,FR,CN,SANDC,CERAM,18.39,873.0,1.0,1.0,873.0,47.471452
26719,FR,CH,SANDC,CHEM1,18.11,860.0,1.0,1.0,860.0,47.487576
26717,FR,CH,SANDC,CEMEN,16.4,778.0,1.0,1.0,778.0,47.439024
70535,FR,IE,CHEM1,CHEM1,1524.89,754.0,1.0,1.0,754.0,0.494462
31202,FR,CN,SEACO,CONST,1721.64,627.0,1.0,1.0,627.0,0.364188
12558,FR,BE,SANDC,SANDC,11.23,533.0,1.0,1.0,533.0,47.462155
26720,FR,CH,SANDC,CHEMI,10.89,517.0,1.0,1.0,517.0,47.474747
41964,FR,DE,SANDC,CEMEN,10.77,511.0,1.0,1.0,511.0,47.446611
42009,FR,DE,SANDC,PUBLI,10.77,511.0,1.0,1.0,511.0,47.446611
82201,FR,IT,SANDC,SANDC,10.57,502.0,1.0,1.0,502.0,47.492904
28134,FR,CN,CHEM1,HEALT,1009.9,499.0,1.0,1.0,499.0,0.494108
60876,FR,GB,SANDC,CONST,9.84,467.0,1.0,1.0,467.0,47.45935
100283,FR,NL,SANDC,CONST,9.58,455.0,1.0,1.0,455.0,47.494781
31188,FR,CN,SANDC,GLASS,9.52,452.0,1.0,1.0,452.0,47.478992
28081,FR,CN,CEREA,FOOD5,1619.3,451.0,1.0,1.0,451.0,0.278515
146229,FR,WA,SANDC,CHEM1,9.11,432.0,1.0,1.0,432.0,47.420417
41970,FR,DE,SANDC,CONST,8.58,407.0,1.0,1.0,407.0,47.435897
82159,FR,IT,SANDC,CEMEN,8.23,391.0,1.0,1.0,391.0,47.509113
156864,FR,WF,SANDC,REALE,7.95,378.0,1.0,1.0,378.0,47.54717
28188,FR,CN,CHEM1,RESEA,752.65,372.0,1.0,1.0,372.0,0.494254
31178,FR,CN,SANDC,CEMEN,7.8,370.0,1.0,1.0,370.0,47.435897
28172,FR,CN,CHEM1,PLAST,746.15,369.0,1.0,1.0,369.0,0.494539
82203,FR,IT,SANDC,STONE,7.72,367.0,1.0,1.0,367.0,47.53886
70584,FR,IE,CHEM1,PLAST,714.77,353.0,1.0,1.0,353.0,0.493865
31515,FR,CN,TRANS,TRANS,1855.13,328.0,1.0,1.0,328.0,0.176807
26756,FR,CH,SANDC,SANDC,6.74,320.0,1.0,1.0,320.0,47.477745
52093,FR,ES,SANDC,STONE,6.66,316.0,1.0,1.0,316.0,47.447447
36027,FR,DE,CEMEN,CONST,129.63,316.0,1.0,1.0,316.0,2.437707
85627,FR,JP,TRANS,PUBLI,1789.84,316.0,1.0,1.0,316.0,0.176552
28107,FR,CN,CHEM1,CHEM1,624.72,309.0,1.0,1.0,309.0,0.494622
42020,FR,DE,SANDC,STONE,6.41,304.0,1.0,1.0,304.0,47.425897
41744,FR,DE,RUBBE,CONST,1136.26,303.0,1.0,1.0,303.0,0.266664
52054,FR,ES,SANDC,CEMEN,6.28,298.0,1.0,1.0,298.0,47.452229
