trade_id,factor_id,level
56,909,10
58,909,1
71,909,1
78,909,8
81,909,1
90,909,2
108,909,1
138,909,7
144,909,1
149,909,11
152,909,1
153,909,1
159,909,15
161,909,1
169,909,5
181,909,1
190,909,1
207,909,1
217,909,5
241,909,1
262,909,7
266,909,4
267,909,1
271,909,2
277,909,5
289,909,1
293,909,1
319,909,1
326,909,1
336,909,1
354,909,4
356,909,23
363,909,3
372,909,1
392,909,1
395,909,1
397,909,1
401,909,2
412,909,19
425,909,3
433,909,1
434,909,1
445,909,1
447,909,1
448,909,1
449,909,1
450,909,1
451,909,11
452,909,2
453,909,6
454,909,5
455,909,1
456,909,4
457,909,3
459,909,2
460,909,4
472,909,1
537,909,7
549,909,2
560,909,2
572,909,9
574,909,1
580,909,6
585,909,3
597,909,1
627,909,1
662,909,1
663,909,1
670,909,1
673,909,1
678,909,33
681,909,2
682,909,1
684,909,4
691,909,1
695,909,3
701,909,1
716,909,2
742,909,1
744,909,2
752,909,1
756,909,1
761,909,1
796,909,1
835,909,2
851,909,3
856,909,4
885,909,1
906,909,1
907,909,1
908,909,3
912,909,1
914,909,1
929,909,1
931,909,1
937,909,1
965,909,2
970,909,2
979,909,1
982,909,3
1024,909,1
1054,909,1
1094,909,1
1099,909,2
1107,909,1
1113,909,2
1150,909,1
1151,909,1
1154,909,1
1158,909,1
1172,909,1
1179,909,10
1213,909,1
1215,909,1
1221,909,1
1229,909,1
1230,909,8
1234,909,1
1242,909,1
1248,909,1
1267,909,2
1276,909,1
1281,909,2
1286,909,1
1287,909,1
1289,909,1
1296,909,3
1308,909,1
1313,909,2
1352,909,1
1359,909,6
1366,909,2
1367,909,3
1373,909,8
1380,909,3
1391,909,2
1394,909,1
1405,909,7
1419,909,4
1428,909,1
1431,909,1
1439,909,3
1464,909,21
1465,909,3
1475,909,6
1476,909,1
1478,909,19
1480,909,7
1482,909,4
1484,909,12
1485,909,1
1489,909,2
1491,909,9
1494,909,1
1496,909,19
1502,909,1
1511,909,1
1515,909,5
1516,909,1
1524,909,2
1534,909,3
1536,909,2
1578,909,1
1630,909,1
1632,909,3
1638,909,2
1639,909,2
1640,909,1
1642,909,3
1645,909,1
1648,909,2
1651,909,2
1653,909,2
1656,909,1
1665,909,2
1668,909,1
1670,909,6
1675,909,1
1678,909,1
1679,909,1
1680,909,1
1692,909,4
1722,909,1
1724,909,1
1740,909,4
1749,909,2
1760,909,3
1765,909,5
1809,909,1
1845,909,1
1847,909,1
1848,909,12
1852,909,1
1857,909,3
1865,909,4
1880,909,1
1881,909,1
1883,909,5
1890,909,1
1932,909,1
1946,909,2
1959,909,5
1998,909,1
2094,909,3
2144,909,1
2149,909,1
2151,909,1
2152,909,31
2157,909,3
2160,909,1
2166,909,2
2171,909,1
2177,909,3
2187,909,3
2195,909,1
2211,909,1
2212,909,1
2214,909,3
2215,909,2
2221,909,1
2222,909,1
2231,909,1
2257,909,2
2258,909,6
2283,909,1
2288,909,1
2289,909,3
2291,909,1
2314,909,1
2322,909,1
2331,909,1
2332,909,2
2338,909,1
2373,909,1
2376,909,1
2379,909,1
2383,909,1
2386,909,1
2453,909,2
2454,909,1
2457,909,2
2473,909,1
2474,909,1
2480,909,1
2495,909,14
2498,909,2
2531,909,1
2544,909,1
2562,909,7
2564,909,1
2569,909,2
2574,909,2
2575,909,1
2576,909,1
2579,909,1
2582,909,12
2592,909,1
2596,909,5
2598,909,1
2615,909,4
2621,909,1
2626,909,4
2627,909,1
2630,909,1
2631,909,1
2633,909,7
2643,909,1
2645,909,1
2658,909,1
2719,909,1
2720,909,6
2721,909,1
2722,909,347
2723,909,1
2724,909,1
2725,909,15
2726,909,12
2727,909,70
2728,909,2
2729,909,2
2730,909,6
2731,909,19
2732,909,539
2733,909,1
2734,909,56
2735,909,38
2736,909,10
2737,909,3
2738,909,1
2739,909,8
2740,909,748
2741,909,1
2742,909,34
2743,909,3
2744,909,1
2745,909,15
2746,909,2
2747,909,1
2748,909,2
2749,909,6
2750,909,261
2751,909,2
2752,909,4
2753,909,7
2754,909,2
2755,909,5
2756,909,10
2757,909,9
2758,909,2
2759,909,8
2760,909,21
2761,909,21
2762,909,53
2763,909,2
2764,909,1
2765,909,1
2766,909,2
2767,909,9
2768,909,9
2769,909,61
2770,909,11
2771,909,11
2772,909,5
2773,909,10
2778,909,1
2782,909,2
2783,909,1
2787,909,1
2788,909,1
2792,909,8
2797,909,2
2802,909,3
2807,909,4
2808,909,59
2814,909,1
2834,909,2
2835,909,1
2842,909,1
2844,909,1
2846,909,2
2847,909,10
2854,909,1
2863,909,4
2877,909,3
2892,909,5
2900,909,12
2933,909,5
2936,909,2
2937,909,1
2941,909,2
2946,909,3
2958,909,1
2984,909,1
2989,909,1
3031,909,1
3034,909,1
3036,909,2
3038,909,1
3040,909,5
3047,909,1
3052,909,35
3054,909,1
3071,909,6
3079,909,2
3080,909,1
3085,909,1
3092,909,1
3094,909,15
3111,909,1
3176,909,1
3181,909,32
3184,909,1
3186,909,1
3190,909,1
3191,909,1
3198,909,1
3204,909,10
3208,909,1
3212,909,1
3220,909,2
3222,909,1
3223,909,3
3226,909,2
3227,909,1
3255,909,2
3256,909,1
3257,909,2
3262,909,5
3263,909,45
3264,909,5
3266,909,3
3267,909,3
3270,909,1
3275,909,3
3284,909,1
3287,909,1
3289,909,2
3292,909,3
3305,909,6
3311,909,1
3314,909,1
3315,909,4
3317,909,1
3318,909,3
3321,909,1
3323,909,1
3325,909,1
