trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count
146742,WA,IT,CRUDE,GASDI,12011.75,0,0
146768,WA,IT,CRUDE,MOTOR,8970.5,0,0
148595,WA,IT,NATUR,ELEC2,7293.2,0,0
123435,RU,IT,NATUR,ELEC2,3729.42,0,0
40160,DE,IT,MACHI,MACHI,3179.87,0,0
158887,WF,IT,NATUR,ELEC2,2882.37,0,0
80765,IE,IT,AIRTR,PUBLI,2800.26,0,0
146730,WA,IT,CRUDE,ELECT,2284.99,0,0
165859,WM,IT,CRUDE,GASDI,1932.82,0,0
156901,WF,IT,CRUDE,GASDI,1865.62,0,0
146752,WA,IT,CRUDE,KEROS,1567.94,0,0
146724,WA,IT,CRUDE,CRUDE,1457.26,0,0
165882,WM,IT,CRUDE,MOTOR,1443.45,0,0
156924,WF,IT,CRUDE,MOTOR,1393.26,0,0
41328,DE,IT,PLAST,RUBBE,1354.53,0,0
4834,AT,IT,WOODW,CONST,1243.15,0,0
36320,DE,IT,BASIC,FABRI,1219.88,0,0
81249,IE,IT,COMPU,COMPU,1208.91,0,0
146745,WA,IT,CRUDE,HEAVY,1122.33,0,0
95656,LU,IT,FINAN,FINAN,1067.74,0,0
36286,DE,IT,BASIC,BASIC,964.61,0,0
60181,FR,IT,MACHI,MACHI,948.47,0,0
105041,NL,IT,PLAST,RUBBE,911.38,0,0
48982,ES,IT,FISH5,HOTEL,869.03,0,0
56495,FR,IT,BASIC,FABRI,850.16,0,0
146771,WA,IT,CRUDE,NATUR,838.53,0,0
141971,US,IT,CRUDE,GASDI,836.92,0,0
146757,WA,IT,CRUDE,LIQUE,794.89,0,0
41312,DE,IT,PLAST,PLAST,769.13,0,0
27278,CN,IT,CHEM1,HEALT,757.12,0,0
141584,US,IT,CHEM1,HEALT,751.54,0,0
84169,IN,IT,BASIC,FABRI,744.09,0,0
37486,DE,IT,DAIRY,DAIRY,738.36,0,0
168573,WM,IT,PFERT,VEGET,723.15,0,0
81143,IE,IT,CHEM1,HEALT,718.47,0,0
145924,WA,IT,BASIC,FABRI,716.98,0,0
146769,WA,IT,CRUDE,NAPHT,714.94,0,0
42374,DE,IT,RUBBE,RUBBE,708.28,0,0
61351,FR,IT,PLAST,RUBBE,701.11,0,0
56462,FR,IT,BASIC,BASIC,672.26,0,0
150493,WA,IT,VEGE1,FOOD5,663.44,0,0
40468,DE,IT,MOTO1,MOTO1,662.0,0,0
95727,LU,IT,FINAN,REALE,650.06,0,0
104053,NL,IT,MACHI,MACHI,646.75,0,0
80731,IE,IT,AIRTR,LANDT,646.05,0,0
11003,BE,IT,PLAST,RUBBE,634.25,0,0
141993,US,IT,CRUDE,MOTOR,625.02,0,0
40116,DE,IT,MACHI,CONST,623.15,0,0
80709,IE,IT,AIRTR,FINAN,610.25,0,0
27721,CN,IT,ELECT,CONST,594.03,0,0
84136,IN,IT,BASIC,BASIC,588.39,0,0
44159,DK,IT,FISH5,HOTEL,583.8,0,0
168873,WM,IT,PRIVA,REALE,577.06,0,0
38533,DE,IT,FABRI,MACHI,567.64,0,0
145891,WA,IT,BASIC,BASIC,566.95,0,0
37399,DE,IT,COPP1,REALE,555.11,0,0
108577,NO,IT,NATUR,ELEC2,535.47,0,0
146715,WA,IT,CRUDE,CHEM1,534.14,0,0
30569,CN,IT,TEXTI,TEXTI,533.42,0,0
105025,NL,IT,PLAST,PLAST,517.5,0,0
164923,WM,IT,BASIC,FABRI,515.22,0,0
36348,DE,IT,BASIC,MACHI,494.17,0,0
36029,DE,IT,AIRTR,PUBLI,491.28,0,0
78367,HU,IT,WOODW,CONST,486.16,0,0
122376,RU,IT,CRUDE,GASDI,475.2,0,0
42283,DE,IT,RUBBE,CONST,471.31,0,0
56887,FR,IT,CATTL,MEATC,460.62,0,0
47569,ES,IT,BASIC,FABRI,455.71,0,0
112116,PL,IT,MACHI,MACHI,446.62,0,0
36304,DE,IT,BASIC,CONST,424.73,0,0
63655,GB,IT,AIRTR,PUBLI,423.9,0,0
43509,DE,IT,WOODW,CONST,423.7,0,0
65009,GB,IT,FINAN,FINAN,421.66,0,0
23848,CH,IT,LANDT,LANDT,418.88,0,0
164890,WM,IT,BASIC,BASIC,407.41,0,0
51200,ES,IT,PLAST,RUBBE,407.33,0,0
140810,US,IT,AIRTR,PUBLI,406.82,0,0
52794,ES,IT,VEGE1,FOOD5,406.23,0,0
80728,IE,IT,AIRTR,INSUR,402.05,0,0
36064,DE,IT,ALUM1,ALUM1,400.18,0,0
61335,FR,IT,PLAST,PLAST,398.1,0,0
40503,DE,IT,MOTO1,SALEM,389.44,0,0
38488,DE,IT,FABRI,CONST,387.45,0,0
10003,BE,IT,MACHI,MACHI,373.62,0,0
57899,FR,IT,ELEC3,REALE,372.42,0,0
134923,TR,IT,BASIC,FABRI,371.52,0,0
165848,WM,IT,CRUDE,ELECT,367.68,0,0
38506,DE,IT,FABRI,FABRI,366.05,0,0
27901,CN,IT,FABRI,MACHI,365.74,0,0
37327,DE,IT,COPP1,COPP1,361.36,0,0
47539,ES,IT,BASIC,BASIC,360.35,0,0
10987,BE,IT,PLAST,PLAST,360.14,0,0
156890,WF,IT,CRUDE,ELECT,354.9,0,0
122395,RU,IT,CRUDE,MOTOR,354.88,0,0
57839,FR,IT,ELEC3,EDUCA,353.26,0,0
80697,IE,IT,AIRTR,DIST1,346.34,0,0
64672,GB,IT,CRUDE,GASDI,344.67,0,0
56522,FR,IT,BASIC,MACHI,344.4,0,0
95675,LU,IT,FINAN,INSUR,342.56,0,0
141905,US,IT,COPP1,REALE,340.8,0,0
142261,US,IT,FINAN,FINAN,336.75,0,0
30575,CN,IT,TEXTI,WEARI,335.44,0,0
2536,AT,IT,MACHI,MACHI,333.32,0,0
91050,KR,IT,BASIC,FABRI,329.64,0,0
50352,ES,IT,MACHI,MACHI,325.0,0,0
169858,WM,IT,TEXTI,TEXTI,323.52,0,0
37326,DE,IT,COPP1,CONST,321.21,0,0
145664,WA,IT,AIRTR,PUBLI,319.82,0,0
37343,DE,IT,COPP1,FABRI,315.75,0,0
36098,DE,IT,ALUM1,FABRI,314.08,0,0
168867,WM,IT,PRIVA,PRIVA,307.88,0,0
42939,DE,IT,TEXTI,TEXTI,306.54,0,0
81257,IE,IT,COMPU,EDUCA,306.48,0,0
142756,US,IT,HOTEL,CONST,305.39,0,0
138096,TR,IT,TEXTI,TEXTI,305.27,0,0
