trade_id,region1,region2,industry1,industry2,amount
16250,JP,CN,MOTO1,MOTO1,10383.93
17036,JP,CN,RADIO,OFFIC,8032.48
73800,JP,WA,BASIC,BASIC,7192.90
16742,JP,CN,PLAST,RUBBE,6974.33
13989,JP,CN,BASIC,CONST,5342.65
71587,JP,US,MOTO1,MOTO1,4867.80
14368,JP,CN,CHEM1,HEALT,4457.94
14661,JP,CN,COPP1,CONST,4351.62
73840,JP,WA,BASIC,FABRI,4337.45
14796,JP,CN,ELECT,CONST,4146.60
44535,JP,KR,BASIC,CONST,3851.71
17049,JP,CN,RADIO,RADIO,3843.82
13973,JP,CN,BASIC,BASIC,3731.19
17009,JP,CN,RADIO,ELECT,3603.04
68580,JP,TW,PRIVA,REALE,3515.84
44521,JP,KR,BASIC,BASIC,3329.55
14424,JP,CN,CHEM1,RESEA,3322.37
14407,JP,CN,CHEM1,PLAST,3293.67
17495,JP,CN,SEACO,CONST,2967.56
14338,JP,CN,CHEM1,CHEM1,2757.66
17371,JP,CN,RUBBE,CONST,2531.34
14433,JP,CN,CHEM1,TEXTI,2428.74
14404,JP,CN,CHEM1,PFERT,2421.38
78958,JP,WA,RADIO,OFFIC,1947.33
13996,JP,CN,BASIC,FABRI,1932.69
68574,JP,TW,PRIVA,PRIVA,1846.39
44877,JP,KR,CHEM1,PLAST,1813.68
17047,JP,CN,RADIO,PUBLI,1727.51
14921,JP,CN,FABRI,FABRI,1701.03
72872,JP,US,SEACO,PUBLI,1666.60
91176,JP,WM,MOTO1,MOTO1,1634.72
75072,JP,WA,COPP1,REALE,1627.92
72875,JP,US,SEACO,RESEA,1540.55
16101,JP,CN,MEDIC,PUBLI,1461.93
47364,JP,KR,SEACO,SEACO,1460.47
17052,JP,CN,RADIO,REALE,1457.21
74994,JP,WA,COPP1,COPP1,1450.37
35701,JP,ID,BASIC,CONST,1446.72
73875,JP,WA,BASIC,MOTO1,1423.09
17623,JP,CN,TEXTI,TEXTI,1421.13
72110,JP,US,PLAST,RUBBE,1395.33
71535,JP,US,MOTO1,EDUCA,1380.47
69695,JP,US,BUSIN,REALE,1360.14
14420,JP,CN,CHEM1,REALE,1359.52
14813,JP,CN,ELECT,ELECT,1346.68
14664,JP,CN,COPP1,ELECT,1325.66
39085,JP,IN,BASIC,CONST,1316.01
17440,JP,CN,RUBBE,RUBBE,1283.37
14662,JP,CN,COPP1,COPP1,1280.57
69029,JP,TW,SEACO,93197,1278.67
69589,JP,US,BUSIN,BUSIN,1245.70
72725,JP,US,RUBBE,REALE,1228.68
16385,JP,CN,NONME,CONST,1224.51
44841,JP,KR,CHEM1,HEALT,1220.43
14905,JP,CN,FABRI,CONST,1213.91
40645,JP,IN,PLAST,BITUM,1212.87
44543,JP,KR,BASIC,FABRI,1158.92
69889,JP,US,CHEM1,HEALT,1123.04
69855,JP,US,CHEM1,CHEM1,1109.57
74235,JP,WA,BUSIN,REALE,1104.82
73826,JP,WA,BASIC,CRUDE,1098.85
17628,JP,CN,TEXTI,WEARI,1094.18
14654,JP,CN,COPP1,BASIC,1077.84
15287,JP,CN,FURNI,BASIC,1073.85
17452,JP,CN,RUBBE,VEGET,1054.75
17435,JP,CN,RUBBE,REALE,1049.47
14415,JP,CN,CHEM1,PUBLI,1028.24
85805,JP,WL,BASIC,CONST,993.51
46698,JP,KR,PLAST,RUBBE,967.37
44817,JP,KR,CHEM1,CHEM1,952.59
15715,JP,CN,HOTEL,PUBLI,950.40
70303,JP,US,ELECT,CONST,926.53
16055,JP,CN,MEDIC,EDUCA,920.06
47242,JP,KR,RUBBE,RUBBE,918.57
17437,JP,CN,RUBBE,RESEA,909.95
14367,JP,CN,CHEM1,GLASS,899.06
79963,JP,WA,SEACO,SEACO,897.23
69699,JP,US,BUSIN,RESEA,895.96
17387,JP,CN,RUBBE,FURNI,875.38
71528,JP,US,MOTO1,CONST,872.63
14166,JP,CN,BUSIN,CONST,843.91
80445,JP,WA,TRANS,PRIVA,843.90
70811,JP,US,FURNI,REALE,827.71
16519,JP,CN,OFFIC,OFFIC,827.36
69621,JP,US,BUSIN,FINAN,826.63
16830,JP,CN,PREC1,PREC1,825.43
36652,JP,ID,MOTO1,MOTO1,819.42
69603,JP,US,BUSIN,CRUDE,815.05
44895,JP,KR,CHEM1,RUBBE,809.12
89338,JP,WM,BASIC,CRUDE,800.84
46362,JP,KR,MOTO1,MOTO1,799.08
21618,JP,DE,MOTO1,MOTO1,796.33
71626,JP,US,MOTO1,SALEM,787.83
46931,JP,KR,RADIO,RADIO,783.92
69599,JP,US,BUSIN,COMPU,783.44
69635,JP,US,BUSIN,HEALT,763.98
91917,JP,WM,PUBLI,PFERT,762.25
14394,JP,CN,CHEM1,NONME,761.03
17407,JP,CN,RUBBE,MOTO1,745.52
70443,JP,US,FABRI,CONST,727.73
69690,JP,US,BUSIN,PUBLI,726.29
77467,JP,WA,MOTO1,MOTO1,725.30
16204,JP,CN,MOTO1,CONST,720.40
14860,JP,CN,ELECT,REALE,711.03
14344,JP,CN,CHEM1,CONST,705.86
78369,JP,WA,PLAST,RUBBE,702.34
14278,JP,CN,CERAM,CONST,697.27
14665,JP,CN,COPP1,FABRI,695.24
44902,JP,KR,CHEM1,TEXTI,694.94
17615,JP,CN,TEXTI,RESEA,682.94
14318,JP,CN,CHEM1,93197,672.04
73086,JP,US,TRANS,TRANS,667.90
14245,JP,CN,BUSIN,RETA1,666.64
14836,JP,CN,ELECT,MOTO1,665.28
48695,JP,MX,BASIC,MOTO1,658.80
15480,JP,CN,GLASS,CONST,657.58
14336,JP,CN,CHEM1,CERAM,656.96
14183,JP,CN,BUSIN,FINAN,649.44
14503,JP,CN,COKEO,BASIC,648.61
16981,JP,CN,RADIO,93197,647.51
67770,JP,TW,BUSIN,REALE,647.29
70446,JP,US,FABRI,CRUDE,641.94
15490,JP,CN,GLASS,GLASS,640.18
39535,JP,IN,COPP1,BASIC,639.62
78355,JP,WA,PLAST,PRIVA,630.54
73886,JP,WA,BASIC,OFFIC,630.52
16996,JP,CN,RADIO,COMPU,626.74
87470,JP,WL,MOTO1,MOTO1,613.44
15221,JP,CN,FOOD5,POULT,610.88
73910,JP,WA,BASIC,REALE,606.92
72575,JP,US,RESEA,PUBLI,605.82
14409,JP,CN,CHEM1,POULT,605.47
38876,JP,IE,WHOLE,COMPU,604.77
16105,JP,CN,MEDIC,REALE,599.18
17380,JP,CN,RUBBE,FABRI,594.30
17384,JP,CN,RUBBE,FOOD5,576.79
10411,JP,CA,MOTO1,MOTO1,562.26
16624,JP,CN,PAPER,PAPER,561.87
14788,JP,CN,ELECT,BUSIN,553.63
79648,JP,WA,RUBBE,REALE,550.51
14361,JP,CN,CHEM1,FOOD5,542.07
72264,JP,US,RADIO,COMPU,537.38
13867,JP,CN,ALUM1,FABRI,536.28
14400,JP,CN,CHEM1,PAPER,532.14
16989,JP,CN,RADIO,BUSIN,527.48
39256,JP,IN,CHEM1,CHEM1,522.46
73847,JP,WA,BASIC,FURNI,507.16
69464,JP,US,BASIC,CRUDE,506.64
48670,JP,MX,BASIC,CONST,505.05
16725,JP,CN,PLAST,LEATH,501.78
73257,JP,US,WHOLE,WHOLE,501.26
71517,JP,US,MOTO1,BUSIN,499.20
15202,JP,CN,FOOD5,FOOD5,493.83
45777,JP,KR,HOTEL,93197,493.01
71574,JP,US,MOTO1,LANDT,491.89
48675,JP,MX,BASIC,FABRI,490.78
79656,JP,WA,RUBBE,SALEM,485.96
83403,JP,WF,BASIC,CONST,484.56
14440,JP,CN,CHEM1,WEARI,482.22
72453,JP,US,REALE,REALE,481.58
13995,JP,CN,BASIC,ELECT,472.14
47206,JP,KR,RUBBE,MOTO1,471.97
44564,JP,KR,BASIC,MOTO1,468.46
14426,JP,CN,CHEM1,RUBBE,465.51
72668,JP,US,RUBBE,HEALT,464.74
71614,JP,US,MOTO1,PUBLI,461.20
15665,JP,CN,HOTEL,FINAN,451.76
13853,JP,CN,ALUM1,BASIC,451.76
16211,JP,CN,MOTO1,EDUCA,451.20
14012,JP,CN,BASIC,MOTO1,448.74
73931,JP,WA,BASIC,TRANS,445.28
16037,JP,CN,MEDIC,BITUM,444.50
30747,JP,GB,BUSIN,BUSIN,442.77
68181,JP,TW,HOTEL,PUBLI,431.11
68932,JP,TW,RETA1,STONE,423.07
70589,JP,US,FINAN,FINAN,421.80
67716,JP,TW,BUSIN,FOOD5,419.98
73938,JP,WA,BASIC,WHOLE,419.08
17359,JP,CN,RUBBE,BITUM,416.65
30153,JP,FR,SEACO,SEACO,413.51
67683,JP,TW,BUSIN,BASIC,410.47
14333,JP,CN,CHEM1,BUSIN,407.53
14885,JP,CN,FABRI,BASIC,406.64
39202,JP,IN,BUSIN,REALE,406.12
73072,JP,US,TRANS,PUBLI,403.07
14982,JP,CN,FABRI,REALE,402.10
17521,JP,CN,SEACO,SEACO,401.86
14262,JP,CN,BUSIN,WHOLE,397.03
73508,JP,WA,ALUM1,ALUM1,396.56
69032,JP,TW,SEACO,POSTT,396.22
44604,JP,KR,BASIC,TRANS,394.21
16719,JP,CN,PLAST,CRUDE,393.62
69213,JP,US,AIRTR,AUXIL,388.26
69727,JP,US,BUSIN,WHOLE,383.75
53064,JP,NL,SEACO,SEACO,382.26
15648,JP,CN,HOTEL,CONST,382.23
13978,JP,CN,BASIC,BITUM,382.03
69461,JP,US,BASIC,CONST,377.23
44893,JP,KR,CHEM1,RESEA,373.81
79980,JP,WA,SEACO,WHOLE,372.72
24196,JP,DK,SEACO,SEACO,371.98
47164,JP,KR,RUBBE,CONST,368.54
72634,JP,US,RUBBE,CONST,368.06
70569,JP,US,FINAN,AUXIL,365.38
17003,JP,CN,RADIO,EDUCA,365.18
76689,JP,WA,KEROS,AIRTR,363.27
31490,JP,GB,FINAN,REALE,361.19
40339,JP,IN,MOTO1,MOTO1,361.19
16600,JP,CN,PAPER,FOOD5,358.77
88874,JP,WL,TRANS,CRUDE,357.42
69600,JP,US,BUSIN,CONST,357.36
16743,JP,CN,PLAST,TEXTI,354.25
16973,JP,CN,PULP5,PAPER,353.36
48660,JP,MX,BASIC,BASIC,351.17
39285,JP,IN,CHEM1,HEALT,351.12
72331,JP,US,RADIO,POSTT,350.63
46937,JP,KR,RADIO,RESEA,349.40
14242,JP,CN,BUSIN,REALE,349.38
80261,JP,WA,TEXTI,WEARI,349.36
73549,JP,WA,ALUM1,FABRI,349.05
14405,JP,CN,CHEM1,PIGS9,348.88
73869,JP,WA,BASIC,MEAT4,348.05
17418,JP,CN,RUBBE,PAPER,347.45
14897,JP,CN,FABRI,CERAM,346.72
16185,JP,CN,MOTO1,BASIC,346.50
69476,JP,US,BASIC,FABRI,345.90
78562,JP,WA,PREC1,PREC1,345.25
19907,JP,DE,BUSIN,BUSIN,345.12
16238,JP,CN,MOTO1,LANDT,344.31
8544,JP,BR,MOTO1,MOTO1,343.64
68520,JP,TW,PRIVA,CHEM1,343.49
79202,JP,WA,REALE,REALE,342.43
76626,JP,WA,INSUR,CHEM1,341.92
16119,JP,CN,MEDIC,TRANS,341.59
77919,JP,WA,OFFIC,PUBLI,341.57
13852,JP,CN,ALUM1,ALUM1,339.69
89348,JP,WM,BASIC,FABRI,339.63
80887,JP,WA,WHOLE,WHOLE,338.24
14439,JP,CN,CHEM1,VEGET,337.42
16087,JP,CN,MEDIC,OFFIC,337.21
69169,JP,TW,WHOLE,PLAST,336.48
15655,JP,CN,HOTEL,EDUCA,334.50
69930,JP,US,CHEM1,PLAST,334.27
16733,JP,CN,PLAST,PAPER,332.51
45557,JP,KR,GASDI,LANDT,328.91
14351,JP,CN,CHEM1,EDUCA,328.32
74719,JP,WA,COKEO,BASIC,327.23
17396,JP,CN,RUBBE,LANDT,323.83
45229,JP,KR,FABRI,CONST,323.21
17367,JP,CN,RUBBE,CHEM1,322.85
76382,JP,WA,HEAVY,FURNI,320.15
