trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
15038,KR,CN,COPP1,CONST,4727.55,11153.0,1.0,1.0,11153.0,2.35915
17390,KR,CN,RADIO,OFFIC,10039.18,6599.0,1.0,1.0,6599.0,0.657325
17141,KR,CN,PLAST,RUBBE,13459.05,5696.0,1.0,1.0,5696.0,0.42321
82158,KR,WA,COPP1,REALE,1785.64,4213.0,1.0,1.0,4213.0,2.359378
49489,KR,JP,PREC1,FURNI,579.1,4124.0,1.0,1.0,4124.0,7.121395
82079,KR,WA,COPP1,COPP1,1590.89,3753.0,1.0,1.0,3753.0,2.359057
81004,KR,WA,BASIC,BASIC,4071.12,3551.0,1.0,1.0,3551.0,0.872242
14448,KR,CN,BASIC,CONST,4061.58,3543.0,1.0,1.0,3543.0,0.872321
15041,KR,CN,COPP1,ELECT,1440.18,3398.0,1.0,1.0,3398.0,2.359427
41875,KR,IN,BASIC,CONST,3827.74,3339.0,1.0,1.0,3339.0,0.872316
15039,KR,CN,COPP1,COPP1,1391.2,3282.0,1.0,1.0,3282.0,2.359114
17403,KR,CN,RADIO,RADIO,4804.1,3158.0,1.0,1.0,3158.0,0.657355
14690,KR,CN,CEMEN,CONST,220.7,3060.0,1.0,1.0,3060.0,13.864975
17362,KR,CN,RADIO,ELECT,4503.17,2960.0,1.0,1.0,2960.0,0.657315
15031,KR,CN,COPP1,BASIC,1170.96,2762.0,1.0,1.0,2762.0,2.358748
47751,KR,JP,BASIC,BASIC,3094.96,2700.0,1.0,1.0,2700.0,0.872386
14702,KR,CN,CERAM,CONST,461.2,2497.0,1.0,1.0,2497.0,5.414137
14433,KR,CN,BASIC,BASIC,2836.52,2474.0,1.0,1.0,2474.0,0.872196
14881,KR,CN,CHEMI,PFERT,93.21,2460.0,1.0,1.0,2460.0,26.392018
49488,KR,JP,PREC1,FOUND,314.84,2242.0,1.0,1.0,2242.0,7.121077
81044,KR,WA,BASIC,FABRI,2454.95,2142.0,1.0,1.0,2142.0,0.872523
85693,KR,WA,PREC1,PREC1,288.82,2057.0,1.0,1.0,2057.0,7.122083
79647,KR,US,PREC1,PREC1,281.23,2003.0,1.0,1.0,2003.0,7.122284
16789,KR,CN,NONME,CONST,619.94,1921.0,1.0,1.0,1921.0,3.098687
15042,KR,CN,COPP1,FABRI,755.31,1782.0,1.0,1.0,1782.0,2.359296
16634,KR,CN,MOTOR,LANDT,4375.96,1778.0,1.0,1.0,1778.0,0.406311
16920,KR,CN,OFFIC,OFFIC,3904.94,1705.0,1.0,1.0,1705.0,0.436626
85652,KR,WA,PREC1,FURNI,225.15,1603.0,1.0,1.0,1603.0,7.119698
83819,KR,WA,LEAD1,LEAD1,679.39,1555.0,1.0,1.0,1555.0,2.288818
77363,KR,US,CEMEN,CONST,110.62,1534.0,1.0,1.0,1534.0,13.867293
15188,KR,CN,ELECT,CONST,1961.03,1477.0,1.0,1.0,1477.0,0.753176
17401,KR,CN,RADIO,PUBLI,2159.09,1419.0,1.0,1.0,1419.0,0.657221
78919,KR,US,MOTO1,MOTO1,3658.95,1317.0,1.0,1.0,1317.0,0.359939
14455,KR,CN,BASIC,FABRI,1469.27,1282.0,1.0,1.0,1282.0,0.872542
77137,KR,US,BASIC,CRUDE,1449.59,1265.0,1.0,1.0,1265.0,0.872661
49486,KR,JP,PREC1,ELECT,175.73,1251.0,1.0,1.0,1251.0,7.118876
79632,KR,US,PREC1,FOUND,172.81,1231.0,1.0,1.0,1231.0,7.12343
17406,KR,CN,RADIO,REALE,1821.26,1197.0,1.0,1.0,1197.0,0.657237
14777,KR,CN,CHEM1,HEALT,3767.81,1191.0,1.0,1.0,1191.0,0.316099
79582,KR,US,PLAST,RUBBE,2710.17,1147.0,1.0,1.0,1147.0,0.423221
47762,KR,JP,BASIC,FABRI,1261.66,1101.0,1.0,1.0,1101.0,0.87266
17213,KR,CN,PREC1,PREC1,149.11,1062.0,1.0,1.0,1062.0,7.122259
79289,KR,US,OFFIC,BUSIN,2301.23,1005.0,1.0,1.0,1005.0,0.436723
16171,KR,CN,LEAD1,CONST,436.56,999.0,1.0,1.0,999.0,2.288345
38301,KR,ID,BASIC,CONST,1116.37,974.0,1.0,1.0,974.0,0.872471
77133,KR,US,BASIC,CONST,1079.32,942.0,1.0,1.0,942.0,0.872772
43565,KR,IN,PLAST,BITUM,2197.75,930.0,1.0,1.0,930.0,0.42316
11556,KR,CA,PREC1,FURNI,129.1,919.0,1.0,1.0,919.0,7.118513
52150,KR,MX,BASIC,MOTO1,1036.27,904.0,1.0,1.0,904.0,0.87236
14832,KR,CN,CHEM1,RESEA,2808.03,888.0,1.0,1.0,888.0,0.316236
14816,KR,CN,CHEM1,PLAST,2783.78,880.0,1.0,1.0,880.0,0.316117
77149,KR,US,BASIC,FABRI,989.67,863.0,1.0,1.0,863.0,0.872008
77357,KR,US,CEMEN,CEMEN,61.64,855.0,1.0,1.0,855.0,13.870863
33620,KR,GB,PREC1,CONST,117.49,837.0,1.0,1.0,837.0,7.124011
15854,KR,CN,GLASS,CONST,1021.5,810.0,1.0,1.0,810.0,0.792952
97961,KR,WM,BASIC,CRUDE,908.29,792.0,1.0,1.0,792.0,0.871968
15864,KR,CN,GLASS,GLASS,994.48,788.0,1.0,1.0,788.0,0.792374
79948,KR,US,RUBBE,REALE,1671.64,769.0,1.0,1.0,769.0,0.460027
77665,KR,US,COPP1,COPP1,319.83,755.0,1.0,1.0,755.0,2.360629
14860,KR,CN,CHEMI,CHEM1,28.45,751.0,1.0,1.0,751.0,26.397188
94104,KR,WL,CEMEN,CONST,53.13,737.0,1.0,1.0,737.0,13.871636
