trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
25961,CN,US,ELECT,CONST,17174.19,45225.0,1.0,1.0,45225.0,2.633312
16553,CA,US,CRUDE,MOTOR,65493.55,31036.0,1.0,1.0,31036.0,0.473879
122784,WA,US,FURNI,REALE,11506.31,25763.0,1.0,1.0,25763.0,2.239032
26541,CN,US,FURNI,REALE,22873.96,23729.0,1.0,1.0,23729.0,1.03738
27606,CN,US,OFFIC,BUSIN,14604.59,19741.0,1.0,1.0,19741.0,1.351698
16544,CA,US,CRUDE,GASDI,37599.99,17818.0,1.0,1.0,17818.0,0.473883
11658,BR,US,BASIC,CRUDE,2444.29,17467.0,1.0,1.0,17467.0,7.146042
28189,CN,US,RADIO,COMPU,2382.11,17383.0,1.0,1.0,17383.0,7.297312
2822,AU,US,BASIC,CRUDE,322.02,17144.0,1.0,1.0,17144.0,53.238929
28624,CN,US,RUBBE,REALE,11343.55,17071.0,1.0,1.0,17071.0,1.504908
26119,CN,US,FABRI,CONST,7524.21,16991.0,1.0,1.0,16991.0,2.258177
67898,IN,US,ELECT,CONST,1438.69,16016.0,1.0,1.0,16016.0,11.13235
26122,CN,US,FABRI,CRUDE,6637.24,14988.0,1.0,1.0,14988.0,2.258168
68457,IN,US,FURNI,REALE,6595.27,13750.0,1.0,1.0,13750.0,2.084827
15493,CA,US,BASIC,CRUDE,4503.52,13364.0,1.0,1.0,13364.0,2.967457
11654,BR,US,BASIC,CONST,1819.94,13005.0,1.0,1.0,13005.0,7.14584
2819,AU,US,BASIC,CONST,239.77,12765.0,1.0,1.0,12765.0,53.23852
126192,WA,US,WOODW,CONST,2688.5,12054.0,1.0,1.0,12054.0,4.483541
11670,BR,US,BASIC,FABRI,1668.79,11925.0,1.0,1.0,11925.0,7.145896
2832,AU,US,BASIC,FABRI,219.85,11704.0,1.0,1.0,11704.0,53.236297
124275,WA,US,OFFIC,BUSIN,11571.34,11419.0,1.0,1.0,11419.0,0.986835
28266,CN,US,RADIO,POSTT,1554.29,11342.0,1.0,1.0,11342.0,7.297223
