trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
34046,1562.62,0.000211,0.003085,48,0.02062
34047,1356.94,9.6e-05,0.002679,48,0.029353
34048,708.77,2.8e-05,0.001399,48,0.019987
34049,223.06,9e-05,0.00044,47,0.017618
34050,2003.85,2.5e-05,0.003957,48,0.019194
34051,1478.94,1.4e-05,0.00292,48,0.011859
34052,766.1,5.2e-05,0.001513,48,0.018588
34053,854.71,1.2e-05,0.001688,47,0.031796
34054,568.74,8.8e-05,0.001123,48,0.020378
34055,5267.56,8e-06,0.010401,48,0.024451
34056,500.47,8e-05,0.000988,48,0.007374
34057,10510.86,0.000119,0.020754,48,0.007337
34058,6060.67,5.3e-05,0.011967,48,0.00672
34059,7995.38,3e-06,0.015787,48,0.022582
34060,6882.45,4.1e-05,0.01359,48,0.010853
34061,20831.23,1e-06,0.041132,48,0.011163
34062,16402.69,1e-06,0.032388,48,0.006881
34063,1065.14,0.001108,0.002103,48,0.031517
34064,1356.94,0.003243,0.002679,48,0.029353
34065,708.77,0.001298,0.001399,48,0.019987
34066,1103.94,0.00164,0.00218,48,0.017734
34067,223.06,0.002824,0.00044,47,0.017618
34068,26.8,0.002985,5.3e-05,42,0.02079
34069,2003.85,0.006078,0.003957,48,0.019194
34070,1.93,0.005181,4e-06,24,0.040833
34071,1478.94,0.000135,0.00292,48,0.011859
34072,766.1,0.000457,0.001513,48,0.018588
34073,854.71,0.000129,0.001688,47,0.031796
34074,568.74,0.000879,0.001123,48,0.020378
34075,5267.56,7e-05,0.010401,48,0.024451
34076,500.47,0.000799,0.000988,48,0.007374
34077,10510.86,0.001127,0.020754,48,0.007337
34078,6060.67,0.000495,0.011967,48,0.00672
34079,7995.38,1.4e-05,0.015787,48,0.022582
34080,6882.45,0.000248,0.01359,48,0.010853
34081,20831.23,9e-06,0.041132,48,0.011163
34082,16402.69,8e-06,0.032388,48,0.006881
34083,12521.54,2e-06,0.024724,48,0.007571
34084,4235.17,0.000151,0.008362,48,0.029342
34085,766.1,1.3e-05,0.001513,48,0.018588
34086,568.74,3.5e-05,0.001123,48,0.020378
34087,5267.56,2e-06,0.010401,48,0.024451
34088,500.47,4e-05,0.000988,48,0.007374
34089,10510.86,6.1e-05,0.020754,48,0.007337
34090,6060.67,7.8e-05,0.011967,48,0.00672
34091,6882.45,1e-06,0.01359,48,0.010853
34092,641.38,4.7e-05,0.001266,47,0.032298
34093,1478.94,6.1e-05,0.00292,48,0.011859
34094,766.1,0.000196,0.001513,48,0.018588
34095,854.71,5.8e-05,0.001688,47,0.031796
34096,568.74,0.000387,0.001123,48,0.020378
34097,5267.56,3e-05,0.010401,48,0.024451
34098,500.47,0.00036,0.000988,48,0.007374
34099,10510.86,0.000496,0.020754,48,0.007337
34100,6060.67,0.000216,0.011967,48,0.00672
34101,6882.45,1.7e-05,0.01359,48,0.010853
34102,20831.23,1e-06,0.041132,48,0.011163
34103,16402.69,1e-06,0.032388,48,0.006881
34104,500.47,0.00032,0.000988,48,0.007374
34105,10510.86,6e-06,0.020754,48,0.007337
34106,1478.94,4.7e-05,0.00292,48,0.011859
34107,1131.61,0.000707,0.002234,48,0.033798
34108,2581.8,0.000306,0.005098,48,0.030313
34109,1691.59,2.4e-05,0.00334,48,0.009497
34110,20831.23,1e-06,0.041132,48,0.011163
34111,16402.69,2e-06,0.032388,48,0.006881
34112,540.25,0.000407,0.001067,48,0.013692
34113,953.47,0.000482,0.001883,48,0.009314
34114,6882.45,1.2e-05,0.01359,48,0.010853
34115,22176.73,2.1e-05,0.043789,48,0.050837
34116,377.96,5.3e-05,0.000746,48,0.008274
34117,12521.54,8.5e-05,0.024724,48,0.007571
34118,1847.94,0.000152,0.003649,48,0.017924
34119,78.85,0.000761,0.000156,46,0.019798
34120,1486.42,4e-05,0.002935,48,0.023224
34121,4235.17,2e-06,0.008362,48,0.029342
34122,1691.59,2.4e-05,0.00334,48,0.009497
34123,3967.03,0.000124,0.007833,48,0.021698
34124,534.09,0.000318,0.001055,48,0.006551
34125,1486.42,0.000128,0.002935,48,0.023224
34126,11717.95,5e-06,0.023137,48,0.028457
34127,1630.82,6e-06,0.00322,48,0.041847
34128,41659.12,1.1e-05,0.082257,48,0.015934
34129,22234.83,0.0,0.043903,48,0.009138
34130,9599.1,3e-06,0.018954,48,0.007896
34131,13038.72,2e-06,0.025745,48,0.013304
34132,7756.54,3e-06,0.015315,48,0.007878
34133,1835.49,1.1e-05,0.003624,48,0.015078
34134,1941.03,5e-06,0.003833,48,0.015424
34135,2453.5,1.2e-05,0.004845,48,0.015404
34136,2256.13,4e-06,0.004455,48,0.015492
34137,2015.58,5e-06,0.00398,48,0.016888
34138,1103.34,9e-06,0.002179,48,0.014214
34139,1105.25,9e-06,0.002182,48,0.01546
34140,3242.0,9e-06,0.006401,48,0.015889
34141,808.04,3.7e-05,0.001595,48,0.021055
34142,1865.54,2.7e-05,0.003684,48,0.018932
34143,1691.59,1.8e-05,0.00334,48,0.009497
34144,3260.94,2.5e-05,0.006439,48,0.008452
34145,10065.68,3e-06,0.019875,48,0.033337
34146,3967.03,3.3e-05,0.007833,48,0.021698
34147,41659.12,1e-06,0.082257,48,0.015934
34148,1562.62,1.9e-05,0.003085,48,0.02062
34149,1065.14,1.9e-05,0.002103,48,0.031517
34150,4235.17,1.4e-05,0.008362,48,0.029342
34151,1356.94,1.5e-05,0.002679,48,0.029353
34152,708.77,1.4e-05,0.001399,48,0.019987
34153,1103.94,9e-06,0.00218,48,0.017734
34154,2003.85,1.5e-05,0.003957,48,0.019194
34155,540.25,0.000278,0.001067,48,0.013692
34156,1478.94,5.4e-05,0.00292,48,0.011859
34157,766.1,3.9e-05,0.001513,48,0.018588
34158,854.71,1.2e-05,0.001688,47,0.031796
34159,568.74,5.3e-05,0.001123,48,0.020378
34160,5267.56,6.1e-05,0.010401,48,0.024451
34161,500.47,6e-05,0.000988,48,0.007374
34162,10510.86,0.000109,0.020754,48,0.007337
34163,6060.67,0.000158,0.011967,48,0.00672
34164,953.47,0.000231,0.001883,48,0.009314
34165,7995.38,0.000148,0.015787,48,0.022582
34166,252.06,0.000159,0.000498,39,0.138753
34167,3260.94,0.00058,0.006439,48,0.008452
34168,19.42,0.000515,3.8e-05,38,0.010798
34169,22.33,0.000448,4.4e-05,39,0.019186
34170,531.96,1.9e-05,0.00105,48,0.011346
34171,534.09,1.9e-05,0.001055,48,0.006551
34172,1486.42,3.4e-05,0.002935,48,0.023224
34173,13060.04,4e-06,0.025787,48,0.017442
34174,164.95,6.1e-05,0.000326,48,0.008202
34175,540.25,7.4e-05,0.001067,48,0.013692
34176,808.04,6.2e-05,0.001595,48,0.021055
34177,1865.54,4.3e-05,0.003684,48,0.018932
34178,209.73,4.8e-05,0.000414,47,0.016339
34179,1478.94,0.000581,0.00292,48,0.011859
34180,766.1,7.8e-05,0.001513,48,0.018588
34181,854.71,2.3e-05,0.001688,47,0.031796
34182,568.74,0.000158,0.001123,48,0.020378
34183,5267.56,1.1e-05,0.010401,48,0.024451
34184,500.47,0.00014,0.000988,48,0.007374
34185,10510.86,0.000202,0.020754,48,0.007337
34186,6060.67,8.6e-05,0.011967,48,0.00672
34187,953.47,0.000461,0.001883,48,0.009314
34188,22234.83,2.3e-05,0.043903,48,0.009138
34189,9599.1,3.4e-05,0.018954,48,0.007896
34190,6882.45,0.000696,0.01359,48,0.010853
34191,9975.33,2e-06,0.019697,48,0.017256
34192,16278.73,5e-06,0.032143,48,0.019878
34193,22176.73,2e-06,0.043789,48,0.050837
34194,7350.02,1e-05,0.014513,48,0.033148
34195,4037.95,1.7e-05,0.007973,48,0.009089
34196,13038.72,2e-06,0.025745,48,0.013304
34197,6914.31,3e-06,0.013652,48,0.014134
34198,5173.1,2e-06,0.010214,48,0.009854
34199,15069.75,8e-06,0.029756,48,0.03846
34200,7437.85,3.2e-05,0.014686,48,0.006877
34201,13638.11,2.3e-05,0.026929,48,0.007535
34202,7756.54,3.4e-05,0.015315,48,0.007878
34203,19876.11,3e-05,0.039246,48,0.009232
34204,20831.23,1.5e-05,0.041132,48,0.011163
34205,16402.69,9.3e-05,0.032388,48,0.006881
34206,12521.54,4.9e-05,0.024724,48,0.007571
34207,1636.46,7.3e-05,0.003231,48,0.007205
34208,2445.96,0.000102,0.00483,48,0.004815
34209,10510.86,7e-06,0.020754,48,0.007337
34210,6060.67,3e-06,0.011967,48,0.00672
34211,953.47,2.1e-05,0.001883,48,0.009314
34212,22234.83,0.0,0.043903,48,0.009138
34213,6882.45,1.6e-05,0.01359,48,0.010853
34214,19876.11,1e-06,0.039246,48,0.009232
34215,16402.69,2e-06,0.032388,48,0.006881
34216,12521.54,1e-06,0.024724,48,0.007571
34217,10510.86,2e-06,0.020754,48,0.007337
34218,6882.45,4e-06,0.01359,48,0.010853
34219,10510.86,6e-06,0.020754,48,0.007337
34220,6060.67,3e-06,0.011967,48,0.00672
34221,953.47,2.1e-05,0.001883,48,0.009314
34222,6882.45,1e-05,0.01359,48,0.010853
34223,16402.69,1e-06,0.032388,48,0.006881
34224,10510.86,5e-06,0.020754,48,0.007337
34225,6060.67,2e-06,0.011967,48,0.00672
34226,1356.94,2.2e-05,0.002679,48,0.029353
34227,708.77,0.000127,0.001399,48,0.019987
34228,1103.94,0.000154,0.00218,48,0.017734
34229,223.06,9e-05,0.00044,47,0.017618
34230,2003.85,0.0001,0.003957,48,0.019194
34231,540.25,3.7e-05,0.001067,48,0.013692
34232,808.04,3.7e-05,0.001595,48,0.021055
34233,1865.54,2.7e-05,0.003684,48,0.018932
34234,1478.94,1.4e-05,0.00292,48,0.011859
34235,766.1,3.9e-05,0.001513,48,0.018588
34236,568.74,7e-05,0.001123,48,0.020378
34237,5267.56,0.001319,0.010401,48,0.024451
34238,500.47,6e-05,0.000988,48,0.007374
34239,10510.86,0.000116,0.020754,48,0.007337
34240,6060.67,3.6e-05,0.011967,48,0.00672
34241,953.47,0.000147,0.001883,48,0.009314
34242,22234.83,1.5e-05,0.043903,48,0.009138
34243,9599.1,2.2e-05,0.018954,48,0.007896
34244,6882.45,0.0005,0.01359,48,0.010853
34245,9975.33,2e-06,0.019697,48,0.017256
34246,16278.73,3e-06,0.032143,48,0.019878
34247,22176.73,1e-06,0.043789,48,0.050837
34248,7350.02,5e-06,0.014513,48,0.033148
