trade_id,region1,region2,industry1,industry2,amount
4164337,RU,RU,PADDY,PADDY,8.61
4164338,RU,RU,PADDY,WHEAT,0.07
4164339,RU,RU,PADDY,CEREA,0.08
4164340,RU,RU,PADDY,VEGET,0.05
4164341,RU,RU,PADDY,OILSE,0.01
4164342,RU,RU,PADDY,SUGAR,0.01
4164343,RU,RU,PADDY,CROPS,0.01
4164344,RU,RU,PADDY,CATTL,1.36
4164345,RU,RU,PADDY,PIGS9,18.70
4164346,RU,RU,PADDY,POULT,50.34
4164347,RU,RU,PADDY,MEATA,0.14
4164348,RU,RU,PADDY,ANIMA,0.06
4164349,RU,RU,PADDY,RAWMI,5.00
4164350,RU,RU,PADDY,WOOLS,0.02
4164351,RU,RU,PADDY,FORES,0.04
4164352,RU,RU,PADDY,FISHF,0.02
4164353,RU,RU,PADDY,COKIN,0.01
4164354,RU,RU,PADDY,BITUM,0.01
4164355,RU,RU,PADDY,CRUDE,0.52
4164356,RU,RU,PADDY,NATUR,0.04
4164357,RU,RU,PADDY,MEATC,0.01
4164358,RU,RU,PADDY,MEATP,0.04
4164359,RU,RU,PADDY,MEAT1,0.01
4164360,RU,RU,PADDY,MEAT4,0.01
4164361,RU,RU,PADDY,VEGE1,0.02
4164362,RU,RU,PADDY,DAIRY,0.01
4164363,RU,RU,PADDY,PROCE,10.71
4164364,RU,RU,PADDY,FOOD5,299.46
4164365,RU,RU,PADDY,BEVER,0.02
4164366,RU,RU,PADDY,FISH5,0.08
4164367,RU,RU,PADDY,TOBAC,33.09
4164368,RU,RU,PADDY,TEXTI,2.46
4164369,RU,RU,PADDY,WEARI,1.64
4164370,RU,RU,PADDY,LEATH,5.54
4164371,RU,RU,PADDY,WOODW,0.04
4164372,RU,RU,PADDY,PULP5,0.02
4164373,RU,RU,PADDY,PAPER,0.02
4164374,RU,RU,PADDY,PRINT,0.01
4164375,RU,RU,PADDY,MOTOR,0.05
4164376,RU,RU,PADDY,KEROS,0.02
4164377,RU,RU,PADDY,GASDI,0.10
4164378,RU,RU,PADDY,HEAVY,0.07
4164379,RU,RU,PADDY,LIQUE,0.01
4164380,RU,RU,PADDY,LUBRI,0.01
4164381,RU,RU,PADDY,PLAST,0.55
4164382,RU,RU,PADDY,NFERT,0.05
4164383,RU,RU,PADDY,PFERT,4.33
4164384,RU,RU,PADDY,CHEM1,0.89
4164385,RU,RU,PADDY,RUBBE,0.13
4164386,RU,RU,PADDY,GLASS,0.11
4164387,RU,RU,PADDY,CERAM,0.01
4164388,RU,RU,PADDY,CEMEN,0.05
4164389,RU,RU,PADDY,NONME,0.01
4164390,RU,RU,PADDY,BASIC,0.06
4164391,RU,RU,PADDY,PREC1,0.01
4164392,RU,RU,PADDY,ALUM1,0.01
4164393,RU,RU,PADDY,NONF1,0.01
4164394,RU,RU,PADDY,FOUND,0.01
4164395,RU,RU,PADDY,FABRI,0.08
4164396,RU,RU,PADDY,OFFIC,1.60
4164397,RU,RU,PADDY,ELECT,0.73
4164398,RU,RU,PADDY,RADIO,0.46
4164399,RU,RU,PADDY,MEDIC,0.47
4164400,RU,RU,PADDY,MOTO1,5.08
4164401,RU,RU,PADDY,TRANS,1.98
4164402,RU,RU,PADDY,FURNI,3.22
4164403,RU,RU,PADDY,ELEC2,0.01
4164404,RU,RU,PADDY,CONST,0.60
4164405,RU,RU,PADDY,SALEM,0.03
4164406,RU,RU,PADDY,RETAI,0.01
4164407,RU,RU,PADDY,WHOLE,2.33
4164408,RU,RU,PADDY,RETA1,0.61
4164409,RU,RU,PADDY,HOTEL,0.15
4164410,RU,RU,PADDY,RAILW,0.07
4164411,RU,RU,PADDY,LANDT,0.22
4164412,RU,RU,PADDY,TRAN2,0.01
4164413,RU,RU,PADDY,AIRTR,0.02
4164414,RU,RU,PADDY,SUPPO,0.11
4164415,RU,RU,PADDY,POSTT,0.01
4164416,RU,RU,PADDY,REALE,0.14
4164417,RU,RU,PADDY,RESEA,0.14
4164418,RU,RU,PADDY,PUBLI,3.01
4164419,RU,RU,PADDY,EDUCA,0.05
4164420,RU,RU,PADDY,HEALT,2.96
